"t","S","N"
1158,762602.7671029986,10
1159,762711.9374477109,9
1160,762827.3909777303,9
1161,762953.8400820373,9
1162,763070.8644083836,9
1163,763106.2073257363,5
1164,763146.2626320696,5
1165,763194.9573182004,6
1166,763253.862180455,7
1167,763324.5480151608,8
1168,763408.5856186445,9
1169,763497.3356111082,9
1170,763590.7979925524,9
1171,763690.5435593041,9
1172,763805.2116911601,10
1173,763936.3731844474,11
1174,764059.6806961008,11
1175,764148.4306885648,9
1176,764241.893070009,9
1177,764336.9262477801,9
1178,764424.8908420807,8
1179,764519.1386216884,8
1180,764607.103215989,8
1181,764702.9217919233,8
1182,764760.2558578512,7
1183,764804.2381550017,6
1184,764840.3664705178,6
1185,764886.7049621582,7
1186,764930.6872593086,6
1187,764984.879732583,7
1188,765046.9261874913,7
1189,765110.5434387266,7
1190,765185.9416624126,8
1191,765272.3354603864,8
1192,765369.7248326476,8
1193,765480.4659736868,9
1194,765606.1296798302,10
1195,765745.9305529149,10
1196,765899.868592941,10
1197,766070.299994398,11
1198,766167.6893666593,8
1199,766278.4305076984,9
1200,766397.0256303714,9
1201,766530.5433181488,10
1202,766638.9282646978,10
1203,766747.3132112466,10
1204,766863.5521394295,10
1205,766942.8773539325,9
1206,767037.1251335402,10
1207,767118.8065425337,10
1208,767202.8441460172,9
1209,767284.5255550103,8
1210,767360.7091768599,7
1211,767448.6737711605,8
1212,767547.6339397484,8
1213,767659.9458771143,9
1214,767745.5542769246,7
1215,767752.6228603951,3
1216,767765.1892310095,4
1217,767784.8241850944,5
1218,767813.0985189767,6
1219,767851.5830289832,7
1220,767901.8485114407,8
1221,767963.1095681856,8
1222,768022.7998286039,8
1223,768093.4856633096,8
1224,768147.678136584,7
1225,768200.2998135318,7
1226,768251.3506941525,7
1227,768303.9723711001,7
1228,768354.2378535576,6
1229,768414.7135121392,7
1230,768479.9015597012,7
1231,768556.8705797141,8
1232,768643.2643776878,8
1233,768743.0099444393,9
1234,768843.5409093541,8
1235,768939.3594852886,8
1236,769012.4015144845,7
1237,769097.2245161316,8
1238,769195.3992865562,9
1239,769308.4966220855,10
1240,769431.0187355754,10
1241,769528.4081078367,10
1242,769606.162526013,9
1243,769696.4833148036,9
1244,769786.8041035945,9
1245,769883.4080776924,9
1246,769991.0076260776,9
1247,770094.6801836462,8
1248,770211.7045099924,9
1249,770343.6514014433,10
1250,770492.0916543251,11
1251,770648.3858888414,11
1252,770782.6889747822,11
1253,770898.9279029651,10
1254,771019.8792201282,10
1255,771154.9677042327,10
1256,771297.9101699711,10
1257,771434.5694504019,10
1258,771553.1645730751,9
1259,771657.6225288071,9
1260,771777.0030496434,10
1261,771910.5207374209,10
1262,772041.6822307083,9
1263,772187.7662891003,10
1264,772347.9875144332,10
1265,772499.5693599691,9
1266,772621.3060752957,7
1267,772754.8237630731,8
1268,772821.5826069618,7
1269,772894.6246361579,7
1270,772979.4476378047,8
1271,773050.9188706739,7
1272,773106.682140275,7
1273,773130.2440851768,4
1274,773160.8746135494,5
1275,773200.1445217193,6
1276,773249.6246060133,7
1277,773291.2507086735,7
1278,773344.6577837844,8
1279,773411.4166276732,9
1280,773483.6732587059,8
1281,773545.7197136142,7
1282,773597.5559923984,6
1283,773639.967493222,6
1284,773686.3059848624,5
1285,773726.3612911956,5
1286,773755.4210232414,5
1287,773793.1201350844,6
1288,773835.5316359078,6
1289,773864.5913679536,5
1290,773902.2904797967,6
1291,773950.1997677638,7
1292,774002.8214447114,7
1293,774044.4475473716,7
1294,774097.8546224826,8
1295,774138.6953269792,6
1296,774174.8236424956,6
1297,774221.1621341358,7
1298,774279.2815982273,8
1299,774328.7616825213,7
1300,774390.0227392664,8
1301,774421.4386658024,6
1302,774463.0647684623,7
1303,774516.4718435734,8
1304,774580.874492972,8
1305,774651.5603276778,8
1306,774710.4651899326,7
1307,774767.0138576973,6
1308,774797.6443860697,5
1309,774836.9142942396,6
1310,774886.3943785336,7
1311,774947.6554352787,8
1312,775019.9120663112,8
1313,775105.5204661215,9
1314,775206.0514310364,10
1315,775323.0757573826,11
1316,775440.1000837289,11
1317,775547.6996321144,9
1318,775670.2217456043,10
1319,775794.3146554212,10
1320,775915.2659725844,10
1321,776006.3721595383,8
1322,776086.4827722049,8
1323,776179.9451536494,9
1324,776288.330100198,10
1325,776413.2084081782,11
1326,776541.2283088121,11
1327,776658.2526351584,11
1328,776784.7017394654,11
1329,776901.7260658115,11
1330,777036.814549916,12
1331,777187.6109972883,12
1332,777320.3432869024,11
1333,777441.2946040656,10
1334,777578.7392826602,11
1335,777734.2481190128,12
1336,777909.3919094505,13
1337,778013.8498651824,11
1338,778109.6684411169,10
1339,778214.9117950122,10
1340,778332.7215195218,10
1341,778445.8188550511,10
1342,778555.7745979266,10
1343,778664.1595444756,10
1344,778767.832102044,10
1345,778887.9980210437,11
1346,779008.949338207,10
1347,779109.480303122,10
1348,779201.3718882393,9
1349,779278.3409082522,8
1350,779368.6616970431,9
1351,779473.9050509383,10
1352,779595.6417662648,11
1353,779704.0267128138,10
1354,779772.3563530294,9
1355,779855.6085583494,10
1356,779934.1483746892,10
1357,780029.1815524603,11
1358,780127.356322885,11
1359,780221.6041024927,10
1360,780332.3452435317,11
1361,780444.6571808975,11
1362,780561.6815072439,11
1363,780646.5045088906,8
1364,780734.469103191,8
1365,780835.7854662694,9
1366,780928.4624495503,8
1367,780993.6504971123,7
1368,781070.6195171252,8
1369,781153.8717224452,8
1370,781221.4159644975,6
1371,781290.5310028765,6
1372,781367.5000228892,6
1373,781454.6792190266,7
1374,781546.5708041439,7
1375,781640.0331855881,7
1376,781713.0752147841,7
1377,781797.898216431,8
1378,781875.6526346074,7
1379,781965.1880252348,8
1380,782068.0751846399,9
1381,782185.8849091494,10
1382,782290.3428648814,9
1383,782401.0840059204,9
1384,782518.1083322667,9
1385,782650.0552237175,10
1386,782798.4954765997,11
1387,782954.0043129523,10
1388,783047.4666943966,9
1389,783140.1436776773,8
1390,783213.1857068734,7
1391,783281.5153470888,7
1392,783357.6989689384,7
1393,783445.6635632389,8
1394,783538.3405465198,8
1395,783572.8980657094,6
1396,783617.6657610231,7
1397,783664.0042526635,7
1398,783722.1237167548,8
1399,783793.594949624,9
1400,783853.2852100423,8
1401,783926.3272392382,9
1402,784000.940064761,9
1403,784057.4887325256,6
1404,784121.8913819242,6
1405,784174.5130588717,5
1406,784235.7741156167,6
1407,784304.8891539957,6
1408,784384.2143684989,7
1409,784452.5440087143,7
1410,784530.2984268906,7
1411,784619.8338175181,8
1412,784722.720976923,9
1413,784840.5307014325,10
1414,784974.8337873737,11
1415,785102.0682898441,10
1416,785208.882440066,10
1417,785299.9886270202,8
1418,785385.5970268305,7
1419,785447.6434817389,7
1420,785521.4709090982,8
1421,785580.375771353,7
1422,785648.7054115686,7
1423,785708.3956719869,6
1424,785778.2961085292,7
1425,785849.7673413983,7
1426,785897.6766293657,7
1427,785957.3668897838,8
1428,786030.4089189797,9
1429,786085.3867904175,8
1430,786129.3690875679,6
1431,786183.5615608423,7
1432,786249.5350065676,8
1433,786318.6500449465,8
1434,786394.8336667962,7
1435,786464.7341033386,7
1436,786504.0040115083,6
1437,786553.4840958024,7
1438,786614.7451525475,8
1439,786671.293820312,8
1440,786735.6964697107,8
1441,786789.1035448217,6
1442,786834.6566382986,6
1443,786890.4199078999,7
1444,786924.192028926,5
1445,786966.6035297496,6
1446,786987.8092801612,5
1447,787010.5858268997,5
1448,787042.0017534357,6
1449,787063.2075038473,5
1450,787090.6964395663,5
1451,787119.756171612,5
1452,787144.1035146774,5
1453,787177.09023754,6
1454,787209.2915622393,5
1455,787250.132266736,6
1456,787295.6853602129,6
1457,787308.2517308273,4
1458,787327.8866849123,5
1459,787356.1610187945,6
1460,787382.0791581868,5
1461,787400.9287141083,4
1462,787424.4906590101,4
1463,787452.7649928925,4
1464,787488.1079102454,5
1465,787514.0260496375,5
1466,787536.802596376,5
1467,787568.218522912,6
1468,787605.917634755,6
1469,787646.7583392516,6
1470,787675.8180712974,5
1471,787704.0924051796,4
1472,787739.4353225325,5
1473,787779.4906288658,5
1474,787824.2583241794,5
1475,787865.8844268395,5
1476,787913.7937148067,5
1477,787967.9861880812,5
1478,788030.8180411529,6
1479,788095.2206905516,6
1480,788167.4773215841,6
1481,788247.5879342506,6
1482,788337.9087230413,7
1483,788440.010484283,8
1484,788549.1808289953,7
1485,788632.4330343154,6
1486,788710.972850655,6
1487,788733.7493973935,5
1488,788753.3843514785,5
1489,788781.6586853608,6
1490,788820.1431953673,7
1491,788863.3400943541,7
1492,788918.317965792,8
1493,788986.6476060075,9
1494,789061.2604315304,9
1495,789150.7958221578,10
1496,789208.1298880856,7
1497,789277.2449264647,8
1498,789320.4418254517,5
1499,789372.2781042359,6
1500,789430.3975683271,6
1501,789482.2338471116,6
1502,789544.2803020198,7
1503,789611.0391459086,7
1504,789669.15861,6
1505,789737.4882502154,7
1506,789776.7581583854,6
1507,789826.2382426794,7
1508,789887.4992994245,8
1509,789944.8333653524,7
1510,789983.3178753587,5
1511,790023.3731816921,5
1512,790032.0125614895,3
1513,790039.08114496,3
1514,790046.1497284306,3
1515,790058.7160990449,4
1516,790078.3510531299,5
1517,790097.9860072149,5
1518,790119.1917576265,5
1519,790139.6121098748,4
1520,790155.3200731429,4
1521,790171.0280364107,4
1522,790193.8045831493,5
1523,790218.1519262146,5
1524,790251.1386490773,6
1525,790273.9151958157,5
1526,790299.8333352078,5
1527,790328.8930672535,5
1528,790362.6651882796,5
1529,790405.076689103,6
1530,790441.2050046192,6
1531,790487.5434962598,7
1532,790540.1651732074,7
1533,790604.5678226058,8
1534,790665.0434811875,7
1535,790737.3001122201,8
1536,790815.8399285597,8
1537,790907.7315136773,9
1538,791014.5456638995,10
1539,791126.8576012652,9
1540,791254.0921037355,10
1541,791389.1805878402,10
1542,791484.9991637745,8
1543,791580.0323415457,7
1544,791631.0832221665,5
1545,791685.2756954408,5
1546,791708.0522421794,5
1547,791728.4725944278,4
1548,791755.9615301467,5
1549,791792.0898456628,6
1550,791814.8663924014,5
1551,791846.2823189374,6
1552,791878.4836436365,5
1553,791909.114172009,5
1554,791948.3840801789,6
1555,791997.8641644729,7
1556,792027.7092946821,6
1557,792059.1252212181,6
1558,792087.3995551004,6
1559,792121.9570742899,6
1560,792158.0853898063,6
1561,792191.0721126689,6
1562,792224.0588355316,6
1563,792253.1185675773,5
1564,792290.8176794203,6
1565,792338.7269673877,7
1566,792388.9924498451,6
1567,792449.4681084265,7
1568,792521.7247394592,8
1569,792600.264555799,8
1570,792692.1561409164,9
1571,792776.9791425633,8
1572,792850.0211717593,7
1573,792932.4879789159,7
1574,793016.5255823993,7
1575,793078.5720373079,7
1576,793152.3994646672,8
1577,793211.304326922,7
1578,793281.9901616278,8
1579,793366.0277651113,9
1580,793444.5675814511,8
1581,793505.8286381962,6
1582,793553.7379261634,5
1583,793610.2865939279,6
1584,793665.2644653658,6
1585,793730.4525129278,7
1586,793783.0741898754,7
1587,793830.9834778426,5
1588,793871.0387841759,5
1589,793919.7334703066,6
1590,793976.282138071,6
1591,794043.04098196,7
1592,794117.6538074827,7
1593,794204.0476054563,8
1594,794303.7931722079,9
1595,794391.7577665084,8
1596,794493.0741295867,9
1597,794603.8152706256,9
1598,794709.0586245209,8
1599,794827.653747194,9
1600,794961.1714349714,10
1601,795080.5519558078,8
1602,795198.3616803176,8
1603,795283.1846819645,8
1604,795381.359452389,9
1605,795474.03643567,8
1606,795545.5076685391,7
1607,795618.549697735,7
1608,795703.372699382,8
1609,795801.5474698066,9
1610,795862.0231283883,7
1611,795919.3571943163,7
1612,795975.905862081,6
1613,796004.9655941267,5
1614,796020.6735573945,4
1615,796029.3129371919,3
1616,796043.4501041331,4
1617,796064.6558545447,5
1618,796081.9346141395,4
1619,796106.2819572048,5
1620,796126.7023094533,4
1621,796133.7708929238,3
1622,796143.9810690479,3
1623,796159.689032316,4
1624,796171.4700047668,3
1625,796188.7487643616,4
1626,796207.5983202831,4
1627,796233.5164596752,5
1628,796268.0739788647,6
1629,796312.8416741784,7
1630,796362.3217584724,7
1631,796411.8018427665,7
1632,796467.5651123676,7
1633,796535.1093544198,8
1634,796608.9367817792,8
1635,796659.2022642366,6
1636,796699.2575705699,5
1637,796725.9611081253,4
1638,796740.8836732298,3
1639,796761.3040254782,4
1640,796786.4367667069,4
1641,796818.6380914061,5
1642,796859.4787959029,6
1643,796910.5296765236,7
1644,796953.7265755106,7
1645,797004.7774561314,7
1646,797063.6823183863,7
1647,797122.587180641,7
1648,797176.7796539154,7
1649,797227.0451363729,6
1650,797256.890266582,4
1651,797284.3792023009,3
1652,797313.4389343465,3
1653,797347.9964535361,4
1654,797384.1247690523,4
1655,797427.3216680391,5
1656,797479.1579468234,6
1657,797537.2774109148,6
1658,797601.6800603134,6
1659,797676.2928858361,7
1660,797710.8504050256,6
1661,797750.1203131955,6
1662,797799.6003974894,7
1663,797860.8614542346,8
1664,797928.4056962867,8
1665,797971.6025952736,7
1666,798007.7309107899,6
1667,798054.0694024303,7
1668,798094.9101069269,6
1669,798131.8238206067,5
1670,798177.3769140837,6
1671,798222.9300075606,6
1672,798263.7707120574,6
1673,798283.4056661424,5
1674,798311.6800000246,6
1675,798346.2375192142,6
1676,798391.0052145278,7
1677,798420.0649465736,5
1678,798457.7640584166,6
1679,798490.7507812793,6
1680,798510.3857353643,5
1681,798532.3768839394,4
1682,798552.7972361878,4
1683,798577.9299774164,4
1684,798610.1313021157,5
1685,798648.6158121222,5
1686,798695.739701926,6
1687,798753.0737678541,7
1688,798822.188806233,8
1689,798884.2352611414,7
1690,798958.0626885009,8
1691,799039.744097494,8
1692,799108.0737377096,7
1693,799160.6954146574,7
1694,799221.1710732388,7
1695,799271.4365556962,6
1696,799331.9122142778,7
1697,799383.7484930621,6
1698,799441.8679571535,6
1699,799510.197597369,7
1700,799562.8192743167,7
1701,799627.2219237152,8
1702,799702.6201474012,8
1703,799768.5935931267,8
1704,799836.137835179,8
1705,799896.6134937606,7
1706,799959.4453468323,6
1707,800032.4873760283,7
1708,800087.465247466,6
1709,800142.4431189038,6
1710,800195.0647958515,5
1711,800256.3258525963,6
1712,800289.312575459,4
1713,800329.3678817922,5
1714,800378.062567923,6
1715,800425.1864577266,6
1716,800482.5205236549,7
1717,800539.8545895828,7
1718,800608.9696279617,8
1719,800685.9386479747,8
1720,800755.8390845171,7
1721,800822.597928406,7
1722,800901.1377447456,8
1723,800990.6731353729,8
1724,801074.7107388565,7
1725,801153.2505551961,6
1726,801218.4386027581,5
1727,801275.7726686861,5
1728,801336.2483272677,5
1729,801403.0071711564,5
1730,801471.336811372,5
1731,801485.4739783132,4
1732,801506.6797287248,5
1733,801536.524858934,6
1734,801562.4429983262,5
1735,801597.0005175155,6
1736,801641.7682128293,7
1737,801689.6775007966,7
1738,801749.3677612147,8
1739,801800.4186418356,7
1740,801863.2504949075,8
1741,801935.50712594,8
1742,802007.7637569725,8
1743,802083.1619806587,8
1744,802160.916398835,7
1745,802250.4517894624,8
1746,802310.9274480438,7
1747,802360.4075323379,7
1748,802421.6685890829,8
1749,802492.3544237887,8
1750,802576.3920272723,9
1751,802659.6442325923,8
1752,802741.3256415859,8
1753,802816.7238652718,8
1754,802882.6973109973,6
1755,802958.8809328468,7
1756,803029.5667675526,6
1757,803110.4627783826,7
1758,803172.5092332908,5
1759,803228.2725028921,5
1760,803288.7481614737,5
1761,803357.8631998526,6
1762,803431.6906272119,6
1763,803515.7282306956,7
1764,803609.1906121399,7
1765,803694.7990119501,7
1766,803723.8587439959,5
1767,803761.5578558389,6
1768,803797.6861713552,6
1769,803844.0246629957,7
1770,803902.1441270871,8
1771,803968.1175728125,8
1772,804045.0865928254,8
1773,804133.051187126,8
1774,804206.0932163219,7
1775,804290.9162179687,8
1776,804374.1684232889,8
1777,804458.9914249359,8
1778,804542.2436302558,8
1779,804580.7281402623,7
1780,804623.9250392491,7
1781,804647.4869841511,4
1782,804678.1175125234,5
1783,804717.3874206934,6
1784,804748.8033472294,6
1785,804783.3608664187,6
1786,804820.2745800985,5
1787,804857.1882937782,5
1788,804896.4582019481,4
1789,804942.7966935884,5
1790,804993.8475742093,5
1791,805053.5378346276,6
1792,805123.4382711698,7
1793,805205.1196801631,8
1794,805291.5134781371,8
1795,805361.4139146793,7
1796,805434.4559438752,7
1797,805516.922751032,7
1798,805605.6727434959,7
