"t","S","N"
209,478794.42837035254,35
210,480168.87515629793,34
211,481595.1582210279,34
212,482980.600581261,34
213,484209.74870697793,31
214,485380.77736860357,29
215,486598.1445218694,30
216,487785.6665449264,28
217,489017.9562632971,29
218,490296.5844733082,30
219,491491.960477999,28
220,492580.52233246784,26
221,493570.9094165119,25
222,494562.86729688314,25
223,495594.8804835874,26
224,496642.6016335595,26
225,497729.5926917016,26
226,498837.004102092,26
227,499986.0416151425,27
228,501178.27602717985,28
229,502346.9484943152,28
230,503484.20503491466,28
231,504622.24697367754,27
232,505743.7955510091,26
233,506906.97023100074,27
234,508041.87057711004,25
235,509044.0386336051,24
236,510063.4854496949,24
237,511115.91898864764,24
238,512187.2020835217,24
239,513296.96968840226,25
240,514394.1709226686,25
241,515531.42746326793,26
242,516674.9671891747,26
243,517838.9272673297,26
244,518860.7302779098,25
245,519922.58859482314,26
246,520957.7433741809,26
247,522034.5242561988,27
248,522825.4202067401,25
249,523656.37146361446,26
250,524525.0218323321,26
251,525435.2983037098,27
252,526307.0902650809,26
253,527158.4618742038,26
254,528051.4595859864,27
255,528987.6541967562,28
256,529961.547919369,28
257,530980.2093372957,29
258,532045.2092468624,30
259,533135.341897658,30
260,534245.1095025387,29
261,535362.7310890533,29
262,536526.6911672082,30
263,537729.9211535329,30
264,538924.5117600607,29
265,540165.4408582286,30
266,541454.279244364,31
267,542632.37648946,30
268,543815.1861235366,30
269,544914.743552293,28
270,545838.3717924486,24
271,546738.4380877019,24
272,547506.5574915045,22
273,548310.0198126603,23
274,549150.3958474954,24
275,550029.2563923373,25
276,550805.2297777737,22
277,551616.5460805637,23
278,552457.7075135619,23
279,553313.7915116652,22
280,554205.2184271213,23
281,555133.5590562571,24
282,556096.4572045825,24
283,557097.8398629142,25
284,558139.2778275792,26
285,559222.3418949044,27
286,560348.6028612162,28
287,561430.0961322145,27
288,562554.7863021997,28
289,563712.4631950476,28
290,564694.2108992942,28
291,565625.6931210835,28
292,566504.5536659254,25
293,567423.4695171004,26
294,568369.0889058311,26
295,569299.785729457,25
296,570170.7922926648,25
297,571081.8541622056,26
298,572034.5421344071,27
299,572976.2345323205,27
300,573897.5065779856,27
301,574728.4578348603,26
302,575519.3537854013,25
303,576256.0572626682,24
304,576927.5726923731,23
305,577636.0018357575,24
306,578257.251783005,23
307,578856.5105816771,23
308,579427.4950464668,23
309,580025.1830488123,23
310,580659.7847648375,24
311,581332.8709908691,25
312,582046.0125232339,26
313,582655.4814980304,24
314,583303.4349828331,25
315,583934.8951062048,24
316,584535.724701204,23
317,585173.4680098826,24
318,585849.6958285677,25
319,586480.3705537759,23
320,587147.9589926635,24
321,587751.9301803163,23
322,588355.9013679692,23
323,588966.9411390923,22
324,589424.828268353,19
325,589877.2176104699,18
326,590299.7618223777,18
327,590736.4432012265,18
328,591202.1843121214,19
329,591698.5559513886,20
330,592215.3479429041,20
331,592735.2815270732,20
332,593207.3058232751,19
333,593709.9606478495,20
334,594244.8167971232,21
335,594813.4450674229,22
336,595404.0644862978,22
337,596030.0268225255,23
338,596692.902872433,24
339,597394.263432347,25
340,598135.679298594,26
341,598908.5110913772,26
342,599514.0530753566,25
343,600052.0508172838,23
344,600588.4777628843,23
345,601161.8184221644,24
346,601724.9489053201,23
347,602243.3116931627,22
348,602797.017398358,23
349,603387.6368172325,24
350,603901.2872160946,22
351,604450.2805323094,23
352,604962.3601348447,22
353,605432.0282365563,20
354,605933.8976629673,21
355,606438.9086820318,21
356,606948.6320900769,21
357,607483.4882393507,21
358,608052.1165096504,22
359,608636.4527432182,22
360,609109.2624375834,20
361,609519.2402788769,18
362,609958.2778522159,19
363,610427.9459539278,20
364,610929.8153803385,21
365,611393.2002967431,20
366,611870.7223800886,20
367,612380.4457881338,21
368,612865.8218531134,20
369,613356.6957052366,19
370,613878.2000857327,20
371,614431.905790928,21
372,615019.3836171493,22
373,615558.16675724,20
374,616082.8127303895,20
375,616639.6600282383,21
376,617192.58033527,20
377,617725.8656882169,19
378,618289.7815695363,20
379,618869.4054141233,20
380,619381.4850166588,20
381,619738.8411810047,17
382,620113.4761049452,17
383,620499.1066031732,17
384,620912.2260371202,18
385,621354.4052031132,19
386,621692.1264133739,18
387,622058.9073556806,19
388,622392.7015751248,19
389,622757.126322941,20
390,623105.8431074894,20
391,623438.85192877,20
392,623729.4492492271,18
393,624037.3253292786,18
394,624367.1925579057,18
395,624726.1195185784,19
396,625115.6770076234,20
397,625511.5176819757,20
398,625868.8738463215,19
399,626243.5087702621,19
400,626592.2255548105,18
401,626914.2388018034,16
402,627262.1701881887,17
403,627624.2387415149,17
404,627975.3117205536,17
405,628353.873635311,18
406,628761.4952821143,19
407,629199.7474572903,20
408,629670.2009571652,21
409,630159.5040129618,21
410,630639.3822907974,21
411,631098.0548182216,18
412,631519.813631966,17
413,631969.0613814296,18
414,632430.0901033436,17
415,632849.4927225978,16
416,633235.9086189893,16
417,633625.4661080342,16
418,634040.9417364716,17
419,634450.1341796018,17
420,634886.8155584508,18
421,635352.5566693455,19
422,635848.9283086127,20
423,636331.1627809389,20
424,636845.5985779642,21
425,637367.8883566235,21
426,637923.9502563089,22
427,638493.363924772,21
428,639096.5497142612,22
429,639735.0784211034,23
430,640368.1093408018,22
