"t","S [м²]","N активних","T життя [с]"
0,7.068583470577035e-8,1,59
1,3.534291735288517e-7,2,92.5
2,9.896016858807848e-7,3,143.5
3,0.0000021205750411731103,4,48
4,0.000003887720908817368,5,84.5
5,0.000006432410958225101,6,60
6,0.000009896016858807849,7,136
7,0.000014419910279977152,8,83
8,0.000020145462891144548,9,103
9,0.000027214046361721578,10,104
10,0.00003576703236111978,11,71
11,0.00004594579255875071,12,58
12,0.000057891698624025884,13,71
13,0.00007174612222635687,14,56
14,0.0000876504350351552,15,56.5
15,0.00010574600871983242,16,81.5
16,0.00012617421494980004,17,89.5
17,0.00014907642539446962,18,168.5
18,0.00017459401172325266,19,163
19,0.0002028683456055608,20,65
20,0.00023404079871080553,21,56.5
21,0.00026825274270839833,22,66.5
22,0.0003056455492677508,23,97.5
23,0.00034636059005827447,24,40
24,0.0003905392367493809,25,100.5
25,0.00043832286101048166,26,87
26,0.0004898528345109882,27,87.5
27,0.0005452705289203121,28,69.5
28,0.0006047173159078649,29,108
29,0.0006683345671430583,30,50
30,0.0007362636542953037,31,34.5
31,0.0008086459490340126,32,83
32,0.0008856228230285965,33,104
33,0.0009673356479484671,34,65.5
34,0.0010539257954630358,35,65
35,0.001145534637241714,36,104.5
36,0.0012423035449539137,37,62.5
37,0.001344373890269046,38,51.5
38,0.001451887044856523,39,146
39,0.0015649843803857556,40,63.5
40,0.0016838072685261558,41,71.5
41,0.001808497080947135,42,60
42,0.0019391951893181045,43,101.5
43,0.0020760429653084765,44,56
44,0.002219181780587661,45,111.5
45,0.002368753006825071,46,44
46,0.002524898015690118,47,33.5
47,0.002687758178852213,48,28
48,0.0028574748679807685,49,84.5
49,0.0030341894547451947,50,73
50,0.003218043310814903,51,91.5
51,0.0034091778078593074,52,31
52,0.0036077343175478166,53,33
53,0.003813854211549843,54,86
54,0.004027678861534798,55,100
55,0.004249349639172094,56,99.5
56,0.004479007916131142,57,81.5
57,0.004716795064081353,58,114
58,0.00496285245469214,59,112.5
59,0.005217321459632914,60,55
60,0.005480343450573085,61,57
61,0.005752059799182067,62,67
62,0.0060326118771292705,63,39
63,0.006322141056084107,64,49
64,0.006620788707715986,65,67.5
65,0.006928696203694323,66,90.5
66,0.007246004915688527,67,59
67,0.00757285621536801,68,28
68,0.007909391474402186,69,85.5
69,0.008255752064460466,70,79.5
70,0.008612079357212253,71,57.5
71,0.008978514724326968,72,103.5
72,0.009355199537474018,73,91
73,0.009742275168322819,74,96.5
