"t","S [м²]","N активних","T життя [с]"
0,7.853981633974483e-7,1,79
1,0.000003926990816987242,2,73
2,0.000010995574287564276,3,128
3,0.00002356194490192345,4,117
4,0.000043196898986859656,5,78
5,0.0000714712328691678,6,35
6,0.00010995574287564277,7,79
7,0.00016022122533307942,8,118
8,0.00022383847656827274,9,63
9,0.00030237829290801757,10,70
10,0.00039741147067910883,11,75
11,0.0005105088062083413,12,50
12,0.0006432410958225101,13,62
13,0.0007971791358484099,14,53
14,0.0009738937226128358,15,19
15,0.0011749556524425825,16,45
16,0.001401935721664445,17,77
17,0.0016564047266052183,18,23
18,0.001939933463591697,19,126
19,0.002254092728950677,20,157
20,0.0026004533190089507,21,130
21,0.0029805860300933158,22,135
22,0.0033960616585305657,23,95
23,0.003848451000647496,24,102
24,0.004339324852770901,25,36
25,0.004870254011227576,26,153
26,0.005442809272344316,27,73
27,0.006058561432447916,28,73
28,0.006719081287865168,29,97
29,0.007425939634922873,30,92
30,0.00818070726994782,31,86
31,0.008984954989266807,32,2
32,0.00984025358920663,33,56
33,0.010713616346904592,32,85
34,0.011638029985223388,33,130
35,0.012615065300489812,34,77
36,0.013646293089030662,35,118
37,0.014733284147172733,36,37
38,0.015877609271242824,37,28
39,0.01708083925756771,38,46
40,0.018251867919193306,37,21
41,0.019481801443073706,38,59
42,0.020772210625535713,39,63
43,0.022124666262906118,40,69
44,0.023540739151511718,41,48
45,0.025022000087679304,42,65
46,0.026570019867735675,43,125
47,0.02818636928800762,44,66
48,0.029872619144821942,45,51
49,0.03163034023450542,46,71
50,0.03346110335338487,47,18
51,0.03536647929778708,48,72
52,0.037348038864038854,49,68
53,0.039407352848466956,50,86
54,0.04154599204739822,51,122
55,0.04376552725715941,52,39
56,0.046067529274077326,53,74
57,0.04845356889447877,54,14
58,0.05092521691469055,55,35
59,0.05348404413103943,56,114
60,0.05600281604105504,55,81
61,0.05849566981167856,54,32
62,0.06107413198211237,55,20
63,0.06373977334868333,56,87
64,0.06649416470771817,57,53
65,0.0693388768555437,58,14
66,0.0721466752896896,57,13
67,0.07504479451262619,58,15
68,0.07800574558863457,58,39
69,0.08105858824976044,59,70
70,0.08420489329233061,60,87
71,0.0873237093991819,59,21
72,0.09053598788747745,60,2
73,0.09384329955354409,61,39
74,0.09697075504019274,58,23
75,0.10019010211195886,59,106
76,0.10350291156516932,60,84
77,0.10691075419615086,61,16
78,0.11041520080123025,62,14
79,0.11373822043056485,59,76
80,0.11715470244134378,60,74
81,0.12066621762989377,61,54
82,0.12409448061312359,59,80
83,0.12761620597779774,60,12
84,0.13123296452024297,61,4
85,0.1346298115769369,59,16
86,0.13812012101507515,60,27
87,0.14170546363098455,61,62
88,0.14529159164505726,60,25
89,0.1489727528369011,61,102
90,0.1527505180028428,62,76
91,0.1566264579392092,63,30
92,0.16046941115271296,61,15
93,0.16415449933537382,58,23
94,0.16786943264824367,58,68
95,0.1716566225921462,58,22
96,0.17553570412116623,59,41
97,0.1794713343179508,59,19
98,0.18350042689617976,60,56
99,0.1874282031113304,59,89
100,0.19124052579646156,58,56
101,0.19511882192731825,58,59
102,0.1990890096432923,59,36
103,0.20315265974071064,60,88
