"t","S, м²","N активних","T життя, с"
185,0.04334478946102738,35,17.5
186,0.04351223634946373,36,18
187,0.043672850273878495,35,15.5
188,0.043839040525253406,36,8.5
189,0.04401096418322111,37,0.5
190,0.04418854270796528,37,8.5
191,0.044372011718934914,38,4.5
192,0.044561528295762695,39,25.5
193,0.04475724951808137,40,1.5
194,0.044947551493072564,39,38.5
195,0.04513518311430821,39,7
196,0.045305221816683755,37,10.5
197,0.0454811510052848,38,28.5
198,0.0456544883799466,37,26
199,0.045828925312037166,37,2.5
200,0.04600776047384277,37,13
201,0.04619248612187386,38,8
202,0.04637611221247618,38,2
203,0.04656578586893665,39,8
204,0.04674446395110959,37,12.5
205,0.046915523671097546,36,12
206,0.04708493405494236,35,5
207,0.04725316634154209,34,14
208,0.047403805709281724,34,33
209,0.04754030791008021,32,10
210,0.047672411881163654,32,29
211,0.047809620940309175,33,22.5
212,0.04795209216714949,34,10.5
213,0.04809519171252051,34,7
214,0.04824371050521897,35,18.5
215,0.04839780562487754,36,13.5
216,0.04854412530271848,35,2
217,0.04867308768114834,32,5.5
218,0.048788227051902416,30,44.5
219,0.04889920381239049,29,11.5
220,0.0490085312367354,28,54
221,0.04910717724605813,28,31
222,0.049204566618319415,28,13
223,0.04930643276011206,29,18
224,0.04941293275106875,30,5
225,0.04952422367082216,31,1
226,0.049636299988738995,31,4.5
227,0.04975065396132967,30,14.5
228,0.04985833204953145,29,4.5
229,0.04995956987279338,27,9
230,0.050065127385953985,28,10
231,0.05017516166864598,29,44.5
232,0.050289829800502006,30,10.5
233,0.05040591164905215,30,9.5
234,0.05052513509025587,30,10.5
235,0.05064318043421451,29,10
236,0.0507658596273372,30,10
237,0.050883433732397794,29,7
238,0.05100564168662243,30,15.5
239,0.051132640569643804,31,29
240,0.051264587461094586,32,12.5
241,0.051401639440607425,33,29.5
242,0.05153594252654838,32,6.5
243,0.051667261099468446,32,8
244,0.051803684760450594,33,15
245,0.05194537058912748,34,12.5
246,0.05209247566513182,35,24.5
247,0.05223164821968587,34,5.5
248,0.05237207741130134,34,1
249,0.052517925850244236,35,11.5
250,0.05265749110387996,33,8
251,0.052794150384311116,32,0.5
252,0.052932616080518094,31,2
253,0.053072652573051854,31,8.5
254,0.05320860499513594,31,2.5
255,0.05334078750603572,29,0.5
256,0.05346166028338259,25,15.5
257,0.05356776757525761,25,4.5
258,0.053661072877069206,24,7
259,0.05374903747136972,22,6
260,0.05384053635740554,23,13
261,0.0539357266148093,24,4.5
262,0.05403476532321372,25,14
263,0.054137809562251456,26,23.5
264,0.05423048654553236,26,30
265,0.054323320608445934,26,17
266,0.05441623321117585,25,5
267,0.0545131513445391,26,7
268,0.05460504292965661,26,27.5
269,0.0546961491166107,26,32.5
270,0.054783171233115144,24,14.5
271,0.05485990463367908,23,10
272,0.054934360379569155,22,9
273,0.055012350417194524,23,20.5
274,0.05507879510181794,22,29.5
275,0.05514877407817666,23,31
276,0.0552207950897602,23,5.5
277,0.05529650747271172,24,11
278,0.055376068306663896,25,31
279,0.05545963467124937,26,5
280,0.05554736364610087,27,8.5
281,0.05563713465617721,27,17.5
282,0.0557312253561522,28,15.5
283,0.055819975348616116,28,9.5
284,0.055913202110611376,29,4.5
285,0.05601106272177071,30,1.5
