"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
0,2.3561944901923453e-12,1,678,2.3561944901923453e-12
1,2.1205750411731107e-11,2,649,1.8849555921538762e-11
2,8.482300164692444e-11,3,257,1.8849555921538762e-11
3,2.3561944901923453e-10,4,350,6.361725123519334e-11
4,5.301437602932777e-10,5,447,1.507964473723101e-10
5,1.039081770174824e-9,6,594,1.507964473723101e-10
6,1.847256480310798e-9,7,641,2.945243112740431e-10
7,3.053628059289279e-9,8,270,2.945243112740431e-10
8,4.7712938426394975e-9,9,292,5.089380098815463e-10
9,7.1274883328318425e-9,10,250,8.081747101359741e-10
10,1.0263583199277853e-8,11,560,8.081747101359741e-10
11,1.4335087278330222e-8,12,591,1.2063715789784804e-9
12,1.9511646573282804e-8,13,247,1.717665783350219e-9
13,2.5977044254370604e-8,14,708,1.717665783350219e-9
14,3.3929200658769766e-8,15,332,2.356194490192344e-9
15,4.358017329059761e-8,16,514,3.13609486644601e-9
16,5.515615682091262e-8,17,312,3.13609486644601e-9
17,6.889748308771438e-8,18,513,4.0715040790523705e-9
18,8.505862109594368e-8,19,438,5.176559294952582e-9
19,1.0390817701748246e-7,20,495,6.465397681087796e-9
20,1.2572889419115375e-7,21,596,6.465397681087796e-9
21,1.508176531227219e-7,22,592,6.465397681087796e-9
22,1.7948547148489223e-7,23,545,7.952156404399167e-9
23,2.1205750411731124e-7,24,876,7.952156404399167e-9
24,2.488730430265666e-7,25,578,9.650972631827851e-9
25,2.9028551738618734e-7,26,433,1.1575983530315e-8
26,3.366624935366432e-7,27,424,1.1575983530315e-8
27,3.883856749853457e-7,28,717,1.1575983530315e-8
28,4.4585090240664683e-7,29,361,1.1575983530315e-8
29,5.094681536418403e-7,30,736,1.3741326266801765e-8
30,5.796615436991606e-7,31,514,1.6161138008229308e-8
31,6.568693247537834e-7,32,429,1.8849555921538773e-8
32,7.415438861478259e-7,33,395,2.182071717367132e-8
33,8.341517543903459e-7,34,254,2.508875893156811e-8
34,9.351735931573428e-7,35,553,2.508875893156811e-8
35,0.000001045104203291757,36,471,2.866781836217029e-8
36,0.0000011644525228034702,37,489,2.866781836217029e-8
37,0.0000012937416268693044,38,496,3.257203263241901e-8
38,0.0000014335087278330244,39,855,3.681553890925542e-8
39,0.0000015843051752053346,40,525,4.1412474359620695e-8
40,0.0000017466964556638814,41,731,4.1412474359620695e-8
41,0.0000019212621930532522,42,690,4.1412474359620695e-8
42,0.000002108596148384975,43,473,4.637697615045598e-8
43,0.0000023093062198375198,44,261,5.172318144870242e-8
44,0.000002524014442756297,45,461,5.172318144870242e-8
45,0.0000027533569896536586,46,288,5.746522742130117e-8
46,0.000002997984170208898,47,492,5.746522742130117e-8
47,0.00000325856043126825,48,507,5.746522742130117e-8
48,0.0000035357643568448895,49,570,6.361725123519339e-8
49,0.000003830288668118933,50,255,6.361725123519339e-8
50,0.000004142840223437436,51,505,6.361725123519339e-8
51,0.000004474140018314402,52,244,7.019339005732024e-8
52,0.000004824923185430768,53,693,7.720778105462285e-8
53,0.000005195938994634412,54,423,8.467456139404243e-8
54,0.000005587950852940164,55,339,9.260786824252005e-8
55,0.000006001736304529784,56,305,1.0102183876699693e-7
56,0.000006438087030751972,57,411,1.0102183876699693e-7
57,0.000006897808850122381,58,513,1.0993061013441422e-7
58,0.000007381721718323593,59,474,1.0993061013441422e-7
59,0.000007890659728205135,60,325,1.1934831951171302e-7
60,0.000008425471109783484,61,341,1.1934831951171302e-7
61,0.000008987018230242044,62,348,1.2928910406583454e-7
62,0.000009576177593931165,63,385,1.2928910406583454e-7
63,0.000010193839842368144,64,679,1.2928910406583454e-7
64,0.000010840909754237216,65,746,1.3976710096371994e-7
65,0.000011518306245389554,66,592,1.5079644737231026e-7
66,0.000012226962368843273,67,389,1.623912804585468e-7
67,0.000012967825314783428,68,486,1.623912804585468e-7
68,0.000013741856410562022,69,191,1.7456573738937057e-7
69,0.000014550031120697995,70,462,1.8733395533172285e-7
