"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
0,2.3561944901923453e-12,1,486,2.3561944901923453e-12
1,2.1205750411731107e-11,2,508,2.3561944901923453e-12
2,8.482300164692446e-11,3,504,2.3561944901923453e-12
3,2.3561944901923453e-10,4,278,1.8849555921538762e-11
4,5.301437602932777e-10,5,490,1.8849555921538762e-11
5,1.0390817701748241e-9,6,526,1.8849555921538762e-11
6,1.847256480310798e-9,7,297,6.361725123519334e-11
7,3.0536280592892785e-9,8,697,1.507964473723101e-10
8,4.7712938426394975e-9,9,463,1.507964473723101e-10
9,7.127488332831842e-9,10,627,1.507964473723101e-10
10,1.0263583199277853e-8,11,617,2.945243112740431e-10
11,1.433508727833022e-8,12,425,2.945243112740431e-10
12,1.9511646573282807e-8,13,454,2.945243112740431e-10
13,2.5977044254370604e-8,14,377,5.089380098815463e-10
14,3.3929200658769766e-8,15,418,5.089380098815463e-10
15,4.358017329059761e-8,16,723,8.081747101359741e-10
16,5.515615682091261e-8,17,368,8.081747101359741e-10
17,6.889748308771438e-8,18,661,8.081747101359741e-10
18,8.505862109594368e-8,19,660,8.081747101359741e-10
19,1.0390817701748247e-7,20,245,1.2063715789784804e-9
20,1.2572889419115378e-7,21,581,1.2063715789784804e-9
21,1.508176531227219e-7,22,347,1.717665783350219e-9
22,1.7948547148489215e-7,23,368,1.717665783350219e-9
23,2.120575041173112e-7,24,409,2.356194490192344e-9
24,2.4887304302656666e-7,25,374,2.356194490192344e-9
25,2.902855173861873e-7,26,449,2.356194490192344e-9
26,3.366624935366433e-7,27,283,3.13609486644601e-9
27,3.8838567498534573e-7,28,406,3.13609486644601e-9
28,4.4585090240664694e-7,29,360,4.0715040790523705e-9
29,5.094681536418403e-7,30,615,4.0715040790523705e-9
30,5.796615436991605e-7,31,738,5.176559294952582e-9
31,6.568693247537833e-7,32,719,5.176559294952582e-9
32,7.415438861478259e-7,33,411,6.465397681087796e-9
33,8.341517543903459e-7,34,716,6.465397681087796e-9
34,9.351735931573427e-7,35,384,7.952156404399167e-9
35,0.0000010451042032917572,36,391,7.952156404399167e-9
36,0.0000011644525228034704,37,373,9.650972631827851e-9
37,0.0000012937416268693048,38,756,9.650972631827851e-9
38,0.0000014335087278330246,39,417,9.650972631827851e-9
39,0.000001584305175205335,40,569,9.650972631827851e-9
40,0.0000017466964556638819,41,277,1.1575983530315e-8
41,0.0000019212621930532522,42,643,1.1575983530315e-8
42,0.0000021085961483849757,43,513,1.3741326266801765e-8
43,0.000002309306219837519,44,448,1.3741326266801765e-8
44,0.0000025240144427562975,45,679,1.3741326266801765e-8
45,0.0000027533569896536586,46,391,1.6161138008229308e-8
46,0.0000029979841702088985,47,593,1.6161138008229308e-8
47,0.00000325856043126825,48,599,1.8849555921538773e-8
48,0.0000035357643568448887,49,233,1.8849555921538773e-8
49,0.000003830288668118932,50,590,1.8849555921538773e-8
50,0.000004142840223437436,51,465,2.182071717367132e-8
51,0.000004474140018314402,52,455,2.182071717367132e-8
52,0.000004824923185430768,53,206,2.508875893156811e-8
53,0.000005195938994634412,54,412,2.866781836217029e-8
54,0.000005587950852940164,55,514,2.866781836217029e-8
55,0.000006001736304529782,56,501,2.866781836217029e-8
56,0.000006438087030751974,57,449,2.866781836217029e-8
57,0.000006897808850122381,58,604,3.257203263241901e-8
58,0.000007381721718323592,59,734,3.257203263241901e-8
59,0.000007890659728205136,60,643,3.257203263241901e-8
60,0.000008425471109783486,61,404,3.257203263241901e-8
61,0.000008987018230242046,62,782,3.681553890925542e-8
62,0.000009576177593931173,63,545,3.681553890925542e-8
63,0.000010193839842368148,64,378,3.681553890925542e-8
64,0.000010840909754237216,65,441,4.1412474359620695e-8
65,0.000011518306245389554,66,617,4.637697615045598e-8
66,0.000012226962368843273,67,247,5.172318144870242e-8
67,0.000012967825314783425,68,468,5.746522742130117e-8
68,0.000013741856410562022,69,295,6.361725123519339e-8
69,0.000014550031120697998,70,477,7.019339005732024e-8
70,0.00001539333904687722,71,277,7.019339005732024e-8
71,0.000016272783927952537,72,377,7.720778105462285e-8
72,0.000017189383639943683,73,192,7.720778105462285e-8
73,0.000018144170196037376,74,385,7.720778105462285e-8
74,0.000019138189746587273,75,518,8.467456139404243e-8
75,0.000020172502579113942,76,566,8.467456139404243e-8
76,0.00002124818311830492,77,378,8.467456139404243e-8
77,0.000022366319926014668,78,428,8.467456139404243e-8
78,0.000023528015701264605,79,620,9.260786824252005e-8
79,0.00002473438728024308,80,530,1.0102183876699693e-7
80,0.00002598656563630539,81,304,1.0102183876699693e-7
81,0.000027285695879973765,82,893,1.0993061013441422e-7
82,0.000028632937258937348,83,382,1.1934831951171302e-7
83,0.00003002946315805232,84,306,1.1934831951171302e-7
84,0.00003147646109934167,85,421,1.2928910406583454e-7
85,0.00003297513274199546,86,294,1.3976710096371994e-7
86,0.000034526693882370576,87,318,1.3976710096371994e-7
87,0.000036132374453990925,88,371,1.3976710096371994e-7
88,0.000037793418527547324,89,442,1.3976710096371994e-7
89,0.000039511084310897526,90,375,1.3976710096371994e-7
90,0.00004128664414906625,91,258,1.5079644737231026e-7
91,0.000043121384524245144,92,364,1.623912804585468e-7
92,0.0000450166060557928,93,516,1.7456573738937057e-7
93,0.0000469736235002347,94,398,1.7456573738937057e-7
94,0.00004899376575126336,95,338,1.8733395533172285e-7
95,0.000051078375839738144,96,359,1.8733395533172285e-7
96,0.000053228810933685456,97,788,1.8733395533172285e-7
97,0.000055446442338298555,98,321,2.0071007145254476e-7
98,0.000057732655495937676,99,291,2.0071007145254476e-7
99,0.00006008884998613001,100,737,2.0071007145254476e-7
100,0.00006251643952556964,101,446,2.1470822291877744e-7
101,0.00006501685196811768,102,598,2.1470822291877744e-7
102,0.00006759152930480207,103,762,2.1470822291877744e-7
103,0.00007024192766381776,104,461,2.1470822291877744e-7
104,0.0000729695173105267,105,225,2.2934254689736204e-7
105,0.00007577578264745761,106,118,2.446271805552397e-7
106,0.00007866222221430631,107,242,2.446271805552397e-7
107,0.00008163034868793549,108,434,2.605762610593516e-7
108,0.00008468168888237469,109,591,2.772039255766389e-7
109,0.00008781778374882066,110,237,2.772039255766389e-7
110,0.00009104018837563697,111,441,2.9452431127404283e-7
111,0.00009435047198835385,112,371,2.9452431127404283e-7
112,0.00009775021794966891,113,455,3.1255155531850435e-7
113,0.00010124102375944642,114,438,3.1255155531850435e-7
114,0.00010482450105471765,115,440,3.1255155531850435e-7
115,0.0001085022756096809,116,416,3.3129979487696476e-7
116,0.00011227598733570132,117,465,3.5078316711636514e-7
117,0.00011614729028131102,118,266,3.5078316711636514e-7
118,0.00012011785263220899,119,273,3.710158092036467e-7
119,0.00012418935671126139,120,496,3.710158092036467e-7
120,0.00012836349897850098,121,436,3.920118583057506e-7
121,0.00013264199003112776,122,196,4.13785451589618e-7
122,0.0001370265546035085,123,392,4.13785451589618e-7
123,0.0001415189315671768,124,654,4.13785451589618e-7
124,0.0001461208739308338,125,517,4.13785451589618e-7
125,0.00015083414884034673,126,410,4.3635072622219e-7
126,0.00015566053757875043,127,367,4.5972181937040774e-7
127,0.00016060183556624617,128,299,4.5972181937040774e-7
128,0.00016565985236020273,129,531,4.839128682012124e-7
129,0.0001708364116551553,130,315,4.839128682012124e-7
130,0.00017613335128280618,131,378,5.089380098815451e-7
131,0.00018155252321202487,132,308,5.089380098815451e-7
132,0.00018709579354884743,133,347,5.089380098815451e-7
133,0.00019276504253647723,134,670,5.34811381578347e-7
134,0.00019856216455528417,135,343,5.34811381578347e-7
135,0.0002044890681228054,136,595,5.34811381578347e-7
136,0.0002105476758937448,137,625,5.615471204585595e-7
137,0.00021673992465997356,138,422,5.615471204585595e-7
138,0.00022306776535052948,139,641,5.615471204585595e-7
139,0.00022953316303161723,140,170,5.891593636891234e-7
140,0.00023613809690660863,141,475,6.1766224843698e-7
141,0.00024288456031604238,142,541,6.1766224843698e-7
142,0.00024977456073762427,143,364,6.1766224843698e-7
143,0.00025681011978622673,144,365,6.1766224843698e-7
144,0.0002639932732138892,145,426,6.1766224843698e-7
145,0.0002713260709098187,146,332,6.470699118690706e-7
146,0.0002788105769003876,147,296,6.470699118690706e-7
147,0.0002864488693491373,148,417,6.773964911523361e-7
148,0.0002942430405567745,149,317,6.773964911523361e-7
149,0.0003021951969611737,150,510,6.773964911523361e-7
150,0.00031030745913737564,151,1049,6.773964911523361e-7
151,0.00031858196179758907,152,425,6.773964911523361e-7
152,0.00032702085379118865,153,470,7.086561234537178e-7
153,0.0003356262981047166,154,493,7.086561234537178e-7
154,0.00034440047186188146,155,441,7.408629459401567e-7
155,0.0003533455663235595,156,359,7.408629459401567e-7
156,0.0003624637868877933,157,318,7.408629459401567e-7
157,0.0003717573530897927,158,188,7.408629459401567e-7
158,0.00038122849860193454,159,642,7.408629459401567e-7
159,0.0003908794712337623,160,239,7.408629459401567e-7
160,0.0004007125329319868,161,403,7.740310957785941e-7
161,0.000410729959780485,162,394,7.740310957785941e-7
162,0.0004209340420003022,163,585,8.081747101359711e-7
163,0.00043132708394964906,164,295,8.081747101359711e-7
164,0.0004419114041239041,165,483,8.081747101359711e-7
165,0.000452689335155613,166,331,8.43307926179229e-7
166,0.0004636632238144878,167,475,8.794448810753088e-7
167,0.00047483543100740756,168,391,8.794448810753088e-7
168,0.00048620833177841823,169,308,9.165997119911517e-7
169,0.000497784315308733,170,541,9.165997119911517e-7
170,0.000509565784916732,171,53,9.165997119911517e-7
171,0.0005215551580579623,172,383,9.547865560936989e-7
172,0.0005337548663251372,173,348,9.547865560936989e-7
173,0.0005461673554481386,174,745,9.940195505498912e-7
174,0.0005587950852940131,175,440,9.940195505498912e-7
175,0.0005716405298669755,176,629,0.0000010343128325266702
176,0.0005847061773084087,177,134,0.0000010343128325266702
177,0.0005979945298968597,178,386,0.0000010343128325266702
178,0.000611508104048045,179,315,0.000001075680539190977
179,0.0006252494303148467,180,439,0.0000011181368077097526
180,0.0006392210533873146,181,322,0.0000011181368077097526
181,0.0006534255320926639,182,266,0.0000011181368077097526
182,0.0006678654393952793,183,237,0.0000011181368077097526
183,0.0006825433623967111,184,162,0.0000011181368077097526
184,0.0006974619023356748,185,286,0.000001161695775249938
185,0.0007126236745880556,186,299,0.000001161695775249938
186,0.000728031308666905,187,127,0.000001206371578978475
187,0.0007436874482224406,188,415,0.0000012521783560623042
188,0.0007595947510420467,189,457,0.0000012521783560623042
189,0.0007757558890502765,190,536,0.0000012991302436683665
190,0.0007921735483088474,191,139,0.0000013472413789636037
191,0.0008088504290166458,192,599,0.0000013472413789636037
192,0.0008257892455097243,193,155,0.0000013472413789636037
193,0.0008429927262613026,194,663,0.0000013965258991149567
194,0.0008604636138817683,195,64,0.0000014469979412893665
195,0.0008782046651186736,196,381,0.0000014469979412893665
196,0.0008962186508567382,197,268,0.0000014469979412893665
197,0.0009145083561178508,198,418,0.0000014986716426537743
198,0.0009330765800610669,199,405,0.0000014986716426537743
199,0.0009519261359826057,200,243,0.0000014986716426537743
200,0.0009710598513158564,201,258,0.0000014986716426537743
201,0.0009904805676313735,202,225,0.0000014986716426537743
202,0.00101019114063688,203,224,0.0000015515611403751218
203,0.0010301944401772637,204,247,0.0000016056805716203494
204,0.001050493350234583,205,159,0.0000016056805716203494
205,0.0010710907689280584,206,565,0.0000016610440735563983
206,0.0010919896085140807,207,264,0.0000016610440735563983
207,0.0011131927953862062,208,351,0.0000017176657833502102
208,0.0011347032700751592,209,478,0.000001775559838168726
209,0.0011565239872488302,210,224,0.0000018347403751788868
210,0.0011786579157122778,211,506,0.0000018952215315476334
211,0.0012011080384077258,212,493,0.0000018952215315476334
212,0.001223877352414564,213,264,0.0000018952215315476334
213,0.0012469688689493537,214,273,0.0000019570174444419075
214,0.0012703856133658203,215,494,0.0000019570174444419075
215,0.0012941306251548536,216,226,0.0000020201422510286505
216,0.0013182069579445136,217,603,0.0000020201422510286505
217,0.001342617679500029,218,368,0.0000020846100884748027
218,0.0013673658717237899,219,428,0.0000021504350939473055
219,0.0013924546306553582,220,821,0.0000021504350939473055
220,0.0014178870664714606,221,415,0.0000022176314046131004
221,0.0014436663034859897,222,264,0.0000022176314046131004
222,0.0014697954801500095,223,146,0.0000022176314046131004
223,0.0014961582570043694,222,438,0.0000022176314046131004
224,0.0015228748470919602,223,496,0.0000022862131576391287
225,0.0015499484030010097,224,78,0.0000022862131576391287
226,0.0015773820914569128,225,528,0.000002356194490192331
227,0.0016051790933222312,226,593,0.000002356194490192331
228,0.0016333426035966942,227,383,0.000002356194490192331
229,0.001661875831417196,228,280,0.000002356194490192331
230,0.0016907820000577986,229,615,0.000002356194490192331
231,0.0017200643469297342,230,529,0.0000024275895394396488
232,0.0017497261235813984,231,316,0.0000024275895394396488
233,0.0017797705956983545,232,587,0.0000024275895394396488
234,0.0018102010431033297,233,209,0.000002500412442548023
235,0.0018410207597562263,234,362,0.000002500412442548023
236,0.0018722330537541056,235,301,0.000002500412442548023
237,0.0019038412473311992,236,206,0.000002574677336684395
238,0.0019358486768589068,237,462,0.000002574677336684395
239,0.001968258692845792,238,471,0.000002650398359015706
240,0.002001074659937587,239,545,0.000002650398359015706
241,0.002034299956917188,240,550,0.0000027275896467088966
242,0.002067937976704667,241,104,0.000002806265336930909
243,0.002101992126357252,242,305,0.000002806265336930909
244,0.0021364658270693433,243,238,0.0000028864395668486827
245,0.0021713625141725106,244,259,0.0000028864395668486827
246,0.002206685637135484,245,523,0.0000028864395668486827
247,0.0022424386595641665,246,545,0.0000028864395668486827
248,0.0022786250592016235,247,551,0.0000028864395668486827
249,0.0023152483279280885,248,401,0.0000028864395668486827
250,0.002352311971760968,249,703,0.000002968126473629161
251,0.002389819510854825,250,424,0.0000030513401944392825
252,0.0024277744795014006,251,337,0.0000030513401944392825
253,0.0024661804261295914,252,306,0.0000030513401944392825
