"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
58,0.000007381721718323592,59,484,6.465397681087796e-9
59,0.000007890659728205138,60,620,6.465397681087796e-9
60,0.000008425471109783484,61,290,7.952156404399167e-9
61,0.000008987018230242047,62,532,7.952156404399167e-9
62,0.000009576177593931166,63,363,7.952156404399167e-9
63,0.000010193839842368148,64,366,7.952156404399167e-9
64,0.000010840909754237218,65,654,7.952156404399167e-9
65,0.000011518306245389549,66,656,9.650972631827851e-9
66,0.000012226962368843275,67,146,9.650972631827851e-9
67,0.000012967825314783428,68,501,9.650972631827851e-9
68,0.00001374185641056202,69,837,9.650972631827851e-9
69,0.000014550031120697996,70,351,1.1575983530315e-8
70,0.000015393339046877223,71,290,1.1575983530315e-8
71,0.000016272783927952523,72,476,1.1575983530315e-8
72,0.000017189383639943687,73,549,1.1575983530315e-8
73,0.00001814417019603739,74,509,1.1575983530315e-8
74,0.00001913818974658727,75,192,1.3741326266801765e-8
75,0.00002017250257911393,76,548,1.6161138008229308e-8
76,0.000021248183118304917,77,245,1.6161138008229308e-8
77,0.000022366319926014665,78,461,1.8849555921538773e-8
78,0.000023528015701264605,79,498,1.8849555921538773e-8
79,0.000024734387280243083,80,614,1.8849555921538773e-8
80,0.00002598656563630539,81,495,1.8849555921538773e-8
81,0.000027285695879973755,82,520,2.182071717367132e-8
82,0.00002863293725893736,83,533,2.182071717367132e-8
83,0.000030029463158052316,84,454,2.182071717367132e-8
84,0.00003147646109934167,85,367,2.182071717367132e-8
85,0.00003297513274199545,86,460,2.508875893156811e-8
86,0.000034526693882370576,87,192,2.508875893156811e-8
87,0.000036132374453990946,88,527,2.508875893156811e-8
88,0.000037793418527547324,89,303,2.508875893156811e-8
89,0.00003951108431089753,90,362,2.508875893156811e-8
90,0.000041286644149066265,91,262,2.866781836217029e-8
91,0.00004312138452424515,92,336,2.866781836217029e-8
92,0.000045016606055792795,93,187,2.866781836217029e-8
93,0.00004697362350023469,94,397,3.257203263241901e-8
94,0.000048993765751263326,95,440,3.257203263241901e-8
95,0.00005107837583973817,96,515,3.681553890925542e-8
96,0.00005322881093368545,97,316,3.681553890925542e-8
97,0.00005544644233829855,98,495,3.681553890925542e-8
98,0.000057732655495937676,99,424,3.681553890925542e-8
99,0.00006008884998613001,100,338,4.1412474359620695e-8
100,0.00006251643952556966,101,648,4.1412474359620695e-8
101,0.00006501685196811769,102,638,4.1412474359620695e-8
102,0.00006759152930480208,103,329,4.1412474359620695e-8
103,0.00007024192766381779,104,480,4.1412474359620695e-8
104,0.0000729695173105267,105,557,4.1412474359620695e-8
105,0.00007577578264745761,106,259,4.1412474359620695e-8
106,0.00007866222221430628,107,627,4.637697615045598e-8
107,0.00008163034868793541,108,244,4.637697615045598e-8
108,0.0000846816888823747,109,242,4.637697615045598e-8
109,0.00008781778374882074,110,282,5.172318144870242e-8
110,0.00009104018837563694,111,250,5.172318144870242e-8
111,0.00009435047198835384,112,555,5.172318144870242e-8
112,0.00009775021794966892,113,305,5.172318144870242e-8
113,0.00010124102375944641,114,687,5.172318144870242e-8
114,0.0001048245010547177,115,444,5.746522742130117e-8
115,0.00010850227560968088,116,329,5.746522742130117e-8
116,0.00011227598733570133,117,290,5.746522742130117e-8
117,0.00011614729028131104,118,571,5.746522742130117e-8
118,0.00012011785263220902,119,457,6.361725123519339e-8
119,0.00012418935671126136,120,486,6.361725123519339e-8
120,0.000128363498978501,121,203,7.019339005732024e-8
121,0.00013264199003112774,122,375,7.019339005732024e-8
122,0.00013702655460350846,123,476,7.720778105462285e-8
123,0.0001415189315671769,124,350,7.720778105462285e-8
124,0.00014612087393083375,125,301,8.467456139404243e-8
125,0.0001508341488403467,126,239,8.467456139404243e-8
126,0.0001556605375787504,127,515,9.260786824252005e-8
127,0.00016060183556624617,128,601,9.260786824252005e-8
128,0.00016565985236020273,129,349,1.0102183876699693e-7
129,0.00017083641165515522,130,176,1.0102183876699693e-7
130,0.00017613335128280626,131,261,1.0102183876699693e-7
131,0.00018155252321202487,132,402,1.0993061013441422e-7
132,0.00018709579354884745,133,189,1.0993061013441422e-7
133,0.0001927650425364772,134,540,1.0993061013441422e-7
134,0.0001985621645552841,135,386,1.1934831951171302e-7
135,0.00020448906812280533,136,388,1.1934831951171302e-7
136,0.0002105476758937449,137,337,1.1934831951171302e-7
137,0.00021673992465997356,138,402,1.2928910406583454e-7
138,0.0002230677653505294,139,222,1.2928910406583454e-7
139,0.00022953316303161715,140,679,1.2928910406583454e-7
140,0.00023613809690660855,141,266,1.3976710096371994e-7
141,0.00024288456031604233,142,480,1.3976710096371994e-7
142,0.0002497745607376243,143,518,1.3976710096371994e-7
143,0.0002568101197862267,144,341,1.5079644737231026e-7
144,0.0002639932732138893,145,501,1.623912804585468e-7
145,0.00027132607090981845,146,483,1.623912804585468e-7
146,0.00027881057690038775,147,74,1.623912804585468e-7
147,0.0002864488693491372,148,278,1.7456573738937057e-7
148,0.0002942430405567744,149,718,1.7456573738937057e-7
149,0.00030219519696117356,150,600,1.7456573738937057e-7
150,0.00031030745913737564,151,395,1.7456573738937057e-7
151,0.0003185819617975891,152,551,1.7456573738937057e-7
152,0.0003270208537911887,153,664,1.7456573738937057e-7
153,0.00033562629810471653,154,313,1.8733395533172285e-7
154,0.00034440047186188135,155,276,1.8733395533172285e-7
155,0.0003533455663235597,156,365,1.8733395533172285e-7
156,0.00036246378688779336,157,297,1.8733395533172285e-7
157,0.000371757353089793,158,288,1.8733395533172285e-7
158,0.0003812284986019345,159,526,2.0071007145254476e-7
159,0.0003908794712337625,160,579,2.0071007145254476e-7
160,0.00040071253293198685,161,231,2.1470822291877744e-7
161,0.00041072995978048515,162,380,2.1470822291877744e-7
162,0.00042093404200030214,163,466,2.2934254689736204e-7
163,0.00043132708394964906,164,49,2.2934254689736204e-7
164,0.0004419114041239041,165,650,2.2934254689736204e-7
165,0.0004526893351556133,166,312,2.2934254689736204e-7
166,0.0004636632238144876,167,595,2.446271805552397e-7
167,0.0004748354310074074,168,356,2.446271805552397e-7
168,0.000486208331778418,169,503,2.446271805552397e-7
169,0.0004977843153087334,170,245,2.446271805552397e-7
170,0.000509565784916732,171,450,2.605762610593516e-7
171,0.0005215551580579624,172,365,2.605762610593516e-7
172,0.0005337548663251374,173,423,2.605762610593516e-7
173,0.0005461673554481386,174,563,2.772039255766389e-7
174,0.0005587950852940128,175,374,2.772039255766389e-7
175,0.0005716405298669758,176,299,2.772039255766389e-7
176,0.0005847061773084088,177,346,2.772039255766389e-7
177,0.0005979945298968596,178,399,2.772039255766389e-7
178,0.0006115081040480447,179,291,2.9452431127404283e-7
179,0.0006252494303148473,180,404,2.9452431127404283e-7
180,0.0006392210533873137,181,291,2.9452431127404283e-7
181,0.0006534255320926639,182,701,3.1255155531850435e-7
182,0.0006678654393952797,183,358,3.1255155531850435e-7
183,0.0006825433623967106,184,665,3.1255155531850435e-7
184,0.0006974619023356748,185,466,3.1255155531850435e-7
185,0.0007126236745880559,186,356,3.1255155531850435e-7
186,0.0007280313086669055,187,294,3.3129979487696476e-7
187,0.0007436874482224405,188,282,3.3129979487696476e-7
188,0.0007595947510420469,189,491,3.3129979487696476e-7
189,0.000775755889050276,190,348,3.3129979487696476e-7
190,0.0007921735483088469,191,350,3.3129979487696476e-7
191,0.0008088504290166456,192,393,3.3129979487696476e-7
