t,S′ [м²],N активних,T життя [с]
202,0.001010493277027,170,61
203,0.001008702569215,169,66
204,0.001004524250985,168,213
205,0.001015048586375,167,93
206,0.001025635753617,168,120
207,0.001036285752713,169,208
208,0.001046998583662,170,137
209,0.001057774246464,171,81
210,0.001050391503728,172,116
211,0.001025353010279,171,321
212,0.001035940177521,168,127
213,0.001025981328809,169,56
214,0.001028651682565,168,226
215,0.001020200798327,167,57
216,0.001030662301863,166,223
217,0.001041186637253,167,109
218,0.001051773804495,168,5
219,0.001062423803591,169,171
220,0.00107313663454,170,26
221,0.001083912297342,171,158
222,0.001055732211239,172,308
223,0.001066382210335,169,202
224,0.001077095041283,170,139
225,0.001063303449534,171,149
226,0.001074016280483,170,150
227,0.001084791943285,171,94
228,0.001084320704387,172,30
229,0.001070717608196,171,196
230,0.001068832652604,170,58
231,0.001079545483553,170,341
232,0.001090321146355,171,16
233,0.00110115964101,172,129
234,0.001112060967518,173,122
235,0.001123025125879,174,399
236,0.001120166276564,175,197
237,0.001131130434925,174,86
238,0.001142157425139,175,53
239,0.001153247247206,176,87
240,0.001164399901127,177,107
241,0.0011756153869,178,82
242,0.001168232644164,179,121
243,0.001179448129937,178,195
244,0.001190726447564,179,3
245,0.001168578219356,180,134
246,0.00117951096179,177,24
247,0.001189626890135,177,217
248,0.001189501226429,177,157
249,0.001200653880349,177,183
250,0.001211869366122,178,260
251,0.001223147683749,179,122
252,0.001220822905185,180,8
253,0.001232164054664,180,44
254,0.001243568035997,181,189
255,0.001255034849182,182,121
256,0.001255129096962,183,56
257,0.00123411184211,182,7
258,0.001229870692027,179,98
259,0.001236625116233,178,26
260,0.001247777770153,177,80
261,0.001258993255926,178,81
262,0.00121234060502,179,153
263,0.00118522866042,174,202
264,0.001196004323222,171,118
265,0.001206842817877,172,9
266,0.001217744144385,173,188
267,0.001205837508227,174,293
268,0.001196852553238,173,59
269,0.00120608883564,171,15
270,0.001216864498442,171,56
271,0.001216267595837,172,272
272,0.001200025561818,171,124
273,0.001194213615409,170,126
274,0.001204863614505,169,159
275,0.001202444588161,170,225
276,0.001213094587257,169,20
