"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
47,0.003098939446481546,46,10.5,2.1470822291877744e-7
48,0.003348261639082805,47,60,2.945243112740431e-7
49,0.003613495802124955,48,91,2.945243112740431e-7
50,0.0038953134510377034,49,39,2.945243112740431e-7
51,0.004194400238417693,50,139,2.945243112740431e-7
52,0.0044940801977605875,49,49.5,3.920118583057514e-7
53,0.0048114392734120185,50,174.5,3.920118583057514e-7
54,0.005147177255135573,51,78.5,3.920118583057514e-7
55,0.005502008069861776,52,69,3.920118583057514e-7
56,0.005876659781688102,53,64,5.089380098815465e-7
57,0.006271874591878959,54,49.5,5.089380098815465e-7
58,0.006668438912464074,53,83.5,5.089380098815465e-7
59,0.00708618836675913,54,26,5.089380098815465e-7
60,0.007525879293195479,55,80.5,5.089380098815465e-7
61,0.007988282167371416,56,133,6.470699118690727e-7
62,0.008474181602052171,57,39,6.470699118690727e-7
63,0.008984376347169929,58,78.5,6.470699118690727e-7
64,0.009519679289823795,59,115,6.470699118690727e-7
65,0.010080917454279826,60,41.5,6.470699118690727e-7
66,0.01066893200197103,61,69.5,6.470699118690727e-7
67,0.011284578231497342,62,13,8.081747101359742e-7
68,0.01192872557862564,63,80.5,8.081747101359742e-7
69,0.012602257616289754,64,130,8.081747101359742e-7
70,0.01330607205459044,65,36.5,8.081747101359742e-7
71,0.013992129622164414,64,35.5,8.081747101359742e-7
72,0.014708667510712136,65,23,8.081747101359742e-7
73,0.015442056313205096,64,66.5,8.081747101359742e-7
74,0.016206149569672684,64,61.5,8.081747101359742e-7
75,0.017001693015671046,65,92,8.081747101359742e-7
76,0.01783036750144463,66,123.5,9.940195505498954e-7
77,0.018693099011428075,67,51.5,9.940195505498954e-7
78,0.019590827667222956,68,59.5,9.940195505498954e-7
79,0.020524507727597834,69,137.5,9.940195505498954e-7
80,0.02148369830571802,68,163.5,9.940195505498954e-7
81,0.022468646802004985,69,122.5,0.0000012063715789784806
82,0.023491490563326327,70,44.5,0.0000014469979412893737
83,0.024553212122784482,71,60,0.0000014469979412893737
84,0.02565480815064878,72,61,0.0000014469979412893737
85,0.026797289454355517,73,69,0.0000014469979412893737
86,0.02795763130134653,72,32,0.0000014469979412893737
87,0.029135851363080507,73,58,0.0000017176657833502195
88,0.030356688503607204,74,22.5,0.0000017176657833502195
89,0.03159005117404377,73,39,0.0000017176657833502195
90,0.032835663699634865,74,63.5,0.0000017176657833502195
91,0.03408225168974487,74,68,0.0000017176657833502195
92,0.03537276444658968,75,151.5,0.0000017176657833502195
93,0.036708255189106385,76,37,0.0000017176657833502195
94,0.03808979127339906,77,49.5,0.0000017176657833502195
95,0.03951845419273871,78,114.5,0.0000017176657833502195
96,0.04097532635608786,78,57,0.0000020201422510286615
97,0.042460715246827464,79,25.5,0.0000020201422510286615
98,0.04399547878215772,80,128.5,0.0000020201422510286615
99,0.04558074086685037,81,17.5,0.0000023561944901923448
100,0.047217639542844206,82,16,0.0000023561944901923448
101,0.04890732698924495,83,56.5,0.0000023561944901923448
102,0.05055581578593609,80,54.5,0.0000023561944901923448
103,0.05220754376100258,81,38,0.0000023561944901923448
104,0.05378532993510217,79,24.5,0.0000023561944901923448
105,0.0554138652987531,80,50.5,0.0000023561944901923448
106,0.05695503709404803,77,47,0.0000023561944901923448
107,0.05838779802465473,71,70.5,0.000002727589646708913
108,0.05977197746464109,69,22,0.000002727589646708913
109,0.06113720927211024,70,23.5,0.000002727589646708913
110,0.06254556002779856,71,73.5,0.0000031360948664460113
