"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
0,2.945243112740431e-10,1,92.5,2.945243112740431e-10
1,8.246680715673207e-9,2,110,2.945243112740431e-10
2,4.50622196249286e-8,3,104,2.945243112740431e-10
3,1.4608405839192537e-7,4,89.5,2.945243112740431e-10
4,3.607922813107028e-7,5,89,2.945243112740431e-10
5,7.528041396164542e-7,6,132,2.945243112740431e-10
6,0.0000013998740514855268,7,100.5,2.356194490192345e-9
7,0.0000023938936020354224,8,66,2.356194490192345e-9
8,0.000003840891543324796,9,34,2.356194490192345e-9
9,0.000005861033794353457,10,33,2.356194490192345e-9
10,0.00000858862344106237,11,104,2.356194490192345e-9
11,0.000012172100736333654,12,141,7.952156404399164e-9
12,0.000016774043099990576,13,86.5,7.952156404399164e-9
13,0.00002257116511879757,14,95.5,7.952156404399164e-9
14,0.000029754318546460202,15,100,7.952156404399164e-9
15,0.00003852849230362523,16,75,7.952156404399164e-9
16,0.000049112812477880506,17,77,7.952156404399164e-9
17,0.0000617405423237551,18,147,7.952156404399164e-9
18,0.0000766590822627192,19,79.5,1.884955592153876e-8
19,0.00009412996988318416,20,78.5,1.884955592153876e-8
20,0.00011442887994050248,21,70,1.884955592153876e-8
21,0.00013784562435696787,22,69,1.884955592153876e-8
22,0.00016468415222181502,23,82.5,1.884955592153876e-8
23,0.00019526254979121998,24,31,1.884955592153876e-8
24,0.00022991304048829988,25,73.5,1.884955592153876e-8
25,0.00026898198490311296,26,73,1.884955592153876e-8
26,0.0003128298807926586,27,76.5,1.884955592153876e-8
27,0.0003618313630808776,28,93,3.681553890925539e-8
28,0.0004163752038586515,29,45,3.681553890925539e-8
29,0.0004768643123838031,30,86,3.681553890925539e-8
30,0.0005437157350810969,31,95,3.681553890925539e-8
31,0.0006173606555422374,32,63.5,3.681553890925539e-8
32,0.0006982443945258715,33,88.5,3.681553890925539e-8
33,0.0007868264099575867,34,82.5,6.361725123519331e-8
34,0.0008835802969299115,35,48,6.361725123519331e-8
35,0.0009889937877023153,36,81,6.361725123519331e-8
36,0.0011035687517012098,37,60.5,6.361725123519331e-8
