"t","S [м²]","N активних","T життя [с]"
0,7.853981633974483e-7,1,19
1,0.000007853981633974482,2,31.5
2,0.00002748893571891069,3,42
3,0.00006597344572538565,4,64
4,0.00012959069696057894,5,46
5,0.00022462387473167018,6,86
6,0.00035735616434583894,7,44.5
7,0.0005340707511102648,8,18
8,0.0007610508203321274,9,42
9,0.001044579557318606,10,22.5
10,0.001390940147376881,11,15
11,0.0018064157758141308,12,48.5
12,0.0022972896279375363,13,94.5
13,0.002869844889054276,14,38.5
14,0.00353036474447153,15,46.5
15,0.004285132379496477,16,81.5
16,0.005140430979436298,17,43.5
17,0.006102543729598172,18,2
18,0.00717775381528928,19,37
19,0.008304800179764617,18,72
20,0.009480541230370598,19,46.5
21,0.010775662801812993,20,65.5
22,0.012196448079398976,21,49
23,0.01374918024843573,22,39.5
24,0.015440142494230437,23,42
25,0.01717037464819502,22,12
26,0.01893673511767588,23,59
27,0.020847608849221873,24,51.5
28,0.022909279028140175,25,3.5
29,0.025128028839737963,26,47.5
30,0.027510141469322427,27,2.5
31,0.030061900102200733,28,30.5
32,0.03261994192038621,27,27.5
33,0.03512771825611427,26,4
34,0.03779885740982898,27,65
35,0.04063964256683755,28,24.5
36,0.04365635691244714,29,71
37,0.04680344735318073,28,60.5
38,0.05007777229638468,29,84.5
39,0.05353430961349685,30,22.5
40,0.05717934248982442,31,45.5
41,0.06101915411067452,32,17
42,0.06506002766135441,33,22
43,0.06930824632717121,34,1
44,0.07363343401300097,33,32.5
45,0.07803244912619006,34,56
46,0.08264509253982329,35,12
47,0.0874776474392078,36,19
48,0.09253639700965076,37,43.5
49,0.09782762443645937,38,22
50,0.1030795819550981,37,0.5
51,0.10800010144878311,36,9.5
52,0.11290177138654657,36,84
53,0.11802963599536853,37,17
54,0.12338997846055612,38,8.5
55,0.1288720576410703,38,47.5
56,0.13447744433323788,39,54
57,0.1403278752523854,40,4
58,0.14633695660053936,39,35
59,0.1525015467850459,40,53
60,0.1580001193269915,37,27
61,0.16335967639401566,35,7.5
62,0.16858807196775247,34,14.5
63,0.17372221976188162,33,55
64,0.17899381223460523,33,6
65,0.1844044201822503,34,30
66,0.18983544848214365,33,27
67,0.19478659850420113,32,66
68,0.19973853392442212,33,29.5
69,0.2048475489773225,33,9.5
70,0.21009008171800048,32,33
71,0.21523836667907073,31,25.5
72,0.2203599481025855,32,45
73,0.22568259145593,33,11.5
74,0.2312125799244114,34,30.5
75,0.23695619669333695,35,35
76,0.2429197249480138,36,0.5
77,0.2484999788989527,33,14.5
78,0.25428757796502854,34,19
79,0.2598992478425034,33,32
80,0.26571826283511507,34,31
81,0.2717509061281709,35,33.5
82,0.27800346090697814,36,48
83,0.2844822103568436,37,2
84,0.29119343766307476,38,24
85,0.29787481983909686,36,39.5
86,0.30430330380650505,36,24
87,0.31045768381488736,35,32
88,0.3167479377055375,36,42
89,0.32326438626724624,37,41
90,0.33001331268532047,38,24.5
91,0.33650305770947364,37,5
92,0.3423597718139283,36,26
93,0.34824633104859226,35,14
94,0.35415959382081164,36,48
95,0.3602040180863184,36,2
96,0.36636468128000804,36,3
97,0.37199048832442394,33,48.5
98,0.37718746797162495,32,35.5
99,0.3823703104518847,31,10
100,0.3875358741725497,32,24.5
101,0.39272578523627993,32,5
102,0.3979416144394025,33,6
