"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
0,2.945243112740431e-10,1,97,2.945243112740431e-10
1,8.246680715673207e-9,2,124,2.945243112740431e-10
2,4.50622196249286e-8,3,115.5,2.945243112740431e-10
3,1.4608405839192537e-7,4,131.5,2.356194490192345e-9
4,3.607922813107028e-7,5,70,2.356194490192345e-9
5,7.528041396164542e-7,6,113,2.356194490192345e-9
6,0.0000013998740514855268,7,83,7.952156404399164e-9
7,0.000002393893602035422,8,128,1.884955592153876e-8
8,0.000003840891543324796,9,214,1.884955592153876e-8
9,0.000005861033794353457,10,84.5,1.884955592153876e-8
10,0.00000858862344106237,11,80.5,3.681553890925539e-8
11,0.000012172100736333652,12,136.5,3.681553890925539e-8
12,0.000016774043099990576,13,68,3.681553890925539e-8
13,0.000022571165118797566,14,171,3.681553890925539e-8
14,0.0000297543185464602,15,62.5,6.361725123519331e-8
15,0.000038528492303625215,16,159,1.0102183876699678e-7
16,0.000049112812477880506,17,54.5,1.0102183876699678e-7
17,0.0000617405423237551,18,77,1.0102183876699678e-7
18,0.00007665908226271923,19,99.5,1.0102183876699678e-7
19,0.00009412996988318419,20,64.5,1.5079644737231008e-7
20,0.0001144288799405025,21,68.5,2.1470822291877744e-7
21,0.00013784562435696784,22,104.5,2.945243112740431e-7
22,0.000164684152221815,23,131,2.945243112740431e-7
23,0.00019526254979121996,24,69,2.945243112740431e-7
24,0.00022991304048829985,25,46.5,3.920118583057514e-7
25,0.0002689819849031129,26,78.5,5.089380098815465e-7
26,0.0003128298807926587,27,88,5.089380098815465e-7
27,0.0003618313630808776,28,47,6.470699118690727e-7
28,0.0004163752038586514,29,72.5,8.081747101359742e-7
29,0.0004768643123838032,30,123,8.081747101359742e-7
30,0.0005437157350810967,31,65.5,8.081747101359742e-7
31,0.0006173606555422375,32,67,8.081747101359742e-7
32,0.0006982443945258718,33,39,8.081747101359742e-7
33,0.0007868264099575865,34,112.5,9.940195505498954e-7
34,0.0008835802969299113,35,34,9.940195505498954e-7
35,0.0009889937877023151,36,57.5,9.940195505498954e-7
36,0.0011035687517012096,37,38,0.0000012063715789784806
37,0.0012278211955199468,38,64.5,0.0000012063715789784806
38,0.0013622812629188194,39,89,0.0000012063715789784806
39,0.0015074932348250621,40,131,0.0000014469979412893737
40,0.001664015529332851,41,53,0.0000017176657833502195
41,0.001832420701703302,42,64.5,0.0000017176657833502195
42,0.0020132954443644736,43,65,0.0000017176657833502195
43,0.002207240586911365,44,101,0.0000017176657833502195
44,0.0024148710961059156,45,59.5,0.0000020201422510286615
45,0.002636816075877008,46,67,0.0000020201422510286615
46,0.0028737187673204627,47,81,0.0000020201422510286615
47,0.003126236548699046,48,96,0.0000020201422510286615
48,0.003395040935442461,49,86.5,0.0000023561944901923448
49,0.003680817580147354,50,100,0.0000023561944901923448
50,0.003984266272577311,51,98,0.0000023561944901923448
51,0.004306100939662863,52,47.5,0.000002727589646708913
52,0.004647049645501476,53,80.5,0.000002727589646708913
53,0.005007854591357566,54,135.5,0.000002727589646708913
54,0.005389272115662478,55,84,0.0000031360948664460113
55,0.005792072694014507,56,71.5,0.0000031360948664460113
56,0.006217040939178893,57,92,0.0000031360948664460113
57,0.006664975601087801,58,43,0.0000031360948664460113
58,0.007136689566840356,59,139,0.000003583477295271282
59,0.007633009860702611,60,41,0.000004071504079052372
60,0.008154777644107564,61,32,0.000004071504079052372
61,0.008702848215655163,62,7,0.000004071504079052372
62,0.009278091011112275,63,69,0.000004071504079052372
63,0.00988138960341273,64,76.5,0.000004601942363656924
64,0.010513641702657298,65,78.5,0.000005176559294952581
65,0.011175759156113673,66,86,0.000005176559294952581
66,0.011868667948216506,67,104.5,0.00000579712201880699
67,0.012593308200567378,68,79,0.00000579712201880699
68,0.013346302308364602,67,108.5,0.000006465397681087794
69,0.014128169812493267,68,112.5,0.000006465397681087794
70,0.014944051929330971,69,69,0.000006465397681087794
71,0.015747829686023933,66,58,0.000006465397681087794
72,0.016575218278654498,67,48,0.000006465397681087794
73,0.017436981981751094,68,58,0.000006465397681087794
74,0.018298667341380886,65,113,0.000006465397681087794
75,0.019159178727105954,66,37.5,0.000007183153427662637
76,0.020054171252049113,67,55.5,0.000007183153427662637
77,0.020952110787250882,66,86.5,0.000007183153427662637
78,0.02188516763418309,67,64.5,0.000007952156404399163
79,0.02285428191444735,68,29,0.000008774173757165017
80,0.02382393163990949,67,61,0.000008774173757165017
81,0.024793554858183627,68,43.5,0.000008774173757165017
82,0.025800076671222798,69,84,0.000008774173757165017
83,0.026844465474962467,70,51.5,0.000009650972631827845
84,0.027897774241993387,69,48,0.000009650972631827845
85,0.02898995373857763,70,57,0.000009650972631827845
86,0.030121986497817606,71,52,0.000009650972631827845
87,0.03129486918998268,72,99.5,0.000009650972631827845
88,0.03250961262250911,73,25,0.000009650972631827845
89,0.03366727783255927,70,105.5,0.000010584320174255287
90,0.034835897579842956,71,81.5,0.000010584320174255287
91,0.035998982037220566,70,29,0.00001157598353031499
92,0.037182383370638464,69,35.5,0.00001157598353031499
93,0.038375991444063555,69,48.5,0.000012627729845874598
94,0.039546298815650846,68,51,0.000012627729845874598
95,0.04075679874190045,69,51,0.000012627729845874598
96,0.04197562487042978,68,83.5,0.000013741326266801756
97,0.043184038975506926,67,67.5,0.000014918539938964106
98,0.04436199573250664,66,80,0.000014918539938964106
99,0.04556016304227027,66,55.5,0.000016161138008229292
100,0.0467857031469994,65,26.5,0.000016161138008229292
101,0.048000964353265084,64,78.5,0.000016161138008229292
102,0.049255824353181515,65,69.5,0.000017470887620464963
103,0.05055119499401645,66,55,0.000017470887620464963
104,0.0518184391521734,65,1.5,0.000017470887620464963
105,0.053126080853913314,66,21.5,0.000017470887620464963
106,0.05436722014426473,64,90.5,0.000017470887620464963
107,0.05562944678625477,63,37,0.000017470887620464963
108,0.05691245270745381,63,49,0.000018849555921538758
109,0.058231708386360166,63,5,0.000018849555921538758
110,0.059587754569609304,64,100.5,0.000018849555921538758
111,0.06098410257604026,64,68,0.000018849555921538758
112,0.06240548220368642,64,43,0.000020298910057318324
113,0.06385088411773299,63,80,0.000020298910057318324
114,0.06533664587625071,64,123,0.000020298910057318324
115,0.06621213912464166,67,72.5,0.000021820717173671305
116,0.06786592876988708,68,30.5,0.000021820717173671305
117,0.06956677456434475,69,59,0.000021820717173671305
118,0.07111237836147571,66,100.5,0.000021820717173671305
119,0.07270257844077122,67,63,0.000021820717173671305
120,0.07432706291704484,66,64,0.000021820717173671305
121,0.07597778361896683,66,85,0.000023416744416465347
122,0.07763020814402948,66,61.5,0.000023416744416465347
123,0.07928408732466552,67,96,0.000023416744416465347
124,0.08098410373866265,68,14,0.000023416744416465347
125,0.08273121164478935,69,55,0.000023416744416465347
126,0.08448487742923094,68,42,0.000023416744416465347
127,0.0861402675195838,63,60,0.000023416744416465347
128,0.0877877511048005,63,65.5,0.00002508875893156809
129,0.08946698323267534,63,66.5,0.00002508875893156809
130,0.09117872760474745,64,73,0.00002508875893156809
131,0.09291270620612617,63,65.5,0.00002683852786484718
132,0.09466865043063977,64,65,0.00002683852786484718
133,0.09647003209875081,65,59.5,0.00002683852786484718
134,0.09831776305772708,66,70,0.00002683852786484718
135,0.09994806792344009,62,68.5,0.00002683852786484718
136,0.10154145858459965,62,115.5,0.000028667818362170258
137,0.10314739922118683,62,98,0.000028667818362170258
138,0.10474295375246127,59,73,0.000028667818362170258
139,0.10625157413182555,58,55.5,0.000028667818362170258
140,0.10762318121253658,57,93,0.00003057839756940498
141,0.10903104364691682,58,56,0.00003057839756940498
142,0.11047597432206535,59,73,0.00003057839756940498
143,0.11174898821148012,56,56,0.00003057839756940498
144,0.11305099949196136,56,57.5,0.000032572032632418976
145,0.11438240753847523,57,58.5,0.000032572032632418976
146,0.11561838499574727,54,48.5,0.000032572032632418976
147,0.11685516473724324,55,19.5,0.000032572032632418976
148,0.11805227735544815,54,116.5,0.000032572032632418976
149,0.11920836214804406,55,8,0.0000346504906970799
150,0.12039574014871281,56,37,0.0000346504906970799
151,0.12158871823463606,55,72,0.0000346504906970799
152,0.12273340699805581,55,20.5,0.00003681553890925539
153,0.1231173786371881,57,185,0.00003681553890925539
154,0.1243505427982388,58,67.5,0.00003681553890925539
155,0.12561077816136035,58,52,0.00003681553890925539
156,0.12688216215323653,58,77,0.00003681553890925539
157,0.12818036729604315,56,61.5,0.000039068944414813097
158,0.12950921121390313,57,86,0.00004141247435962065
159,0.1308680542000121,57,66,0.00004141247435962065
160,0.13226211345802014,58,100,0.00004141247435962065
161,0.13369220187502634,59,48.5,0.00004141247435962065
162,0.13286519793114632,56,87,0.00004141247435962065
163,0.13426073393405102,60,95,0.00004384789588954572
164,0.13563969351966879,59,82,0.00004384789588954572
165,0.13705519120229445,60,42,0.00004384789588954572
166,0.137731685270957,60,20.5,0.00004384789588954572
167,0.1392677217403606,63,85,0.00004384789588954572
168,0.14084412747901326,64,48,0.00004637697615045592
169,0.14244551359165095,64,66.5,0.00004637697615045592
170,0.14408839287830955,65,167.5,0.00004637697615045592
171,0.14572533426032847,63,31.5,0.00004637697615045592
172,0.14730086761797112,62,83.5,0.00004900148228821892
173,0.14890516333627987,62,50.5,0.00004900148228821892
174,0.1504425634532446,61,58.5,0.00004900148228821892
175,0.15184151741078172,59,63.5,0.00005172318144870235
176,0.153195590870194,60,92,0.00005172318144870235
177,0.1545638636411769,60,176,0.00005172318144870235
178,0.1559463463266061,61,78,0.00005172318144870235
179,0.15734640151054305,60,98,0.00005172318144870235
180,0.15788386154925266,56,100,0.00005454384077777386
181,0.15907860619199504,55,55,0.00005454384077777386
182,0.16030544279274236,56,77,0.00005454384077777386
183,0.16156515596426,57,11.5,0.00005454384077777386
184,0.16272682935566227,55,98.5,0.0000574652274213011
185,0.16378811089579934,56,79,0.0000574652274213011
186,0.16344351156112258,58,55,0.0000604891085251517
187,0.15979184246301334,56,47.5,0.0000604891085251517
188,0.1609951783799155,60,70.5,0.0000604891085251517
189,0.16198751177878343,57,56.5,0.0000604891085251517
190,0.1630102689499573,58,72.5,0.0000636172512351933
191,0.16405095528857985,57,13.5,0.0000636172512351933
192,0.16511867571921013,58,97,0.0000636172512351933
193,0.16616764231431988,54,28.5,0.0000636172512351933
194,0.16716526831506126,54,56.5,0.00006685142269729358
195,0.1680625740339452,49,95,0.00006685142269729358
196,0.16898576549454697,50,48,0.00006685142269729358
197,0.16985582771463803,49,82.5,0.00006685142269729358
198,0.17050038916294805,50,52.5,0.00006685142269729358
199,0.1713184746161583,50,34,0.00006685142269729358
200,0.17026810137293785,52,61,0.00006685142269729358
201,0.17080636487396866,53,36.5,0.00007019339005732014
202,0.17176574129692923,54,53,0.00007019339005732014
203,0.17272189591844886,53,68.5,0.00007364492046114066
204,0.17364835011937102,50,54.5,0.00007364492046114066
205,0.1744942654692779,49,70,0.00007364492046114066
206,0.1747093442037803,49,51,0.00007364492046114066
207,0.17561481973253465,52,140.5,0.00007364492046114066
208,0.17653961752873007,53,88,0.00007720778105462276
209,0.17745887178833883,53,36,0.00007720778105462276
210,0.16888944779807968,53,61.5,0.00007720778105462276
211,0.16919237164818698,53,125,0.00008088373898363408
212,0.17013514897548845,53,51.5,0.00008088373898363408
213,0.17109947311235413,54,51,0.00008088373898363408
214,0.1720903754175935,54,120,0.00008088373898363408
215,0.17310836482921646,55,91,0.00008088373898363408
216,0.1741562054578843,56,90,0.00008467456139404229
217,0.17493396434787065,56,30.5,0.00008467456139404229
218,0.17596506421468566,54,33.5,0.00008467456139404229
219,0.17698012899989765,55,71.5,0.00008467456139404229
220,0.17666830963201688,54,49.5,0.00008467456139404229
