"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
68,0.012136909499001073,63,5.5,1.5079644737231008e-7
69,0.01280827148153972,64,10,1.5079644737231008e-7
70,0.013509845178880233,65,23.5,1.5079644737231008e-7
71,0.014197010746913218,62,70.5,2.1470822291877744e-7
72,0.014868301454568533,63,74.5,2.1470822291877744e-7
73,0.015559239289980318,62,86.5,2.1470822291877744e-7
74,0.01625728340797452,61,75.5,2.1470822291877744e-7
75,0.016985221154514424,62,82,2.1470822291877744e-7
76,0.017743921965366893,63,67.5,2.1470822291877744e-7
77,0.018534269413465764,64,64.5,2.1470822291877744e-7
78,0.01934871189546996,63,23,2.1470822291877744e-7
79,0.02017704355494522,62,51.5,2.1470822291877744e-7
80,0.021027692499582955,63,54,2.1470822291877744e-7
81,0.021882469496967514,62,39,2.945243112740431e-7
82,0.022740900952006347,63,93.5,2.945243112740431e-7
83,0.023632661367157595,64,70,2.945243112740431e-7
84,0.02455864845252198,65,23.5,2.945243112740431e-7
85,0.025519774055367237,66,19,2.945243112740431e-7
86,0.026498000623298,66,39,2.945243112740431e-7
87,0.027462264677204182,65,52.5,3.920118583057514e-7
88,0.028430840567027424,66,55.5,3.920118583057514e-7
89,0.029435424410098415,67,67.5,3.920118583057514e-7
90,0.030476956328018723,68,63.5,3.920118583057514e-7
91,0.03153653433953943,68,39,3.920118583057514e-7
92,0.032604585815495475,67,57,3.920118583057514e-7
93,0.03368076086100508,68,17,3.920118583057514e-7
94,0.03473886801811527,67,83.5,5.089380098815465e-7
95,0.03575247785322957,66,83,5.089380098815465e-7
96,0.036802646991102306,67,51,5.089380098815465e-7
97,0.03789031555333508,68,46,5.089380098815465e-7
98,0.039016437798696395,69,77.5,5.089380098815465e-7
99,0.04018198212312176,70,13,5.089380098815465e-7
100,0.04133418037290605,69,55.5,5.089380098815465e-7
101,0.042512138308002975,68,124,5.089380098815465e-7
102,0.04368101782572923,67,46,6.470699118690727e-7
103,0.04485390523028327,68,16.5,6.470699118690727e-7
104,0.04606489789570564,68,33,6.470699118690727e-7
105,0.047314755694719414,69,26,6.470699118690727e-7
106,0.048605689621329363,70,89.5,6.470699118690727e-7
107,0.049938682208637834,71,46,6.470699118690727e-7
108,0.05131065803378655,71,34,8.081747101359742e-7
109,0.05272635363674939,72,69.5,8.081747101359742e-7
110,0.05413957994788655,70,72,8.081747101359742e-7
111,0.05556935558007416,71,88,8.081747101359742e-7
112,0.05701613115550854,70,76,8.081747101359742e-7
113,0.0584798430569384,71,44.5,8.081747101359742e-7
114,0.059946661600803586,70,28,8.081747101359742e-7
115,0.06141603543759338,71,62.5,8.081747101359742e-7
116,0.06293044380872286,72,30.5,8.081747101359742e-7
117,0.06449089752162826,73,30,8.081747101359742e-7
118,0.0660984215209129,74,75.5,9.940195505498954e-7
119,0.0677540548883469,75,16.5,9.940195505498954e-7
120,0.06936321290851045,72,84,9.940195505498954e-7
121,0.07099263479033831,73,56,9.940195505498954e-7
122,0.0726563219250641,73,39.5,9.940195505498954e-7
123,0.07435464894761172,74,58.5,9.940195505498954e-7
124,0.07610213148866243,75,64,9.940195505498954e-7
125,0.0778721804824429,74,42.5,9.940195505498954e-7
126,0.07955538898304423,71,32,9.940195505498954e-7
127,0.0811547508300905,71,62,0.0000012063715789784806
128,0.08277844657025855,72,59,0.0000012063715789784806
129,0.08444885209904879,73,12,0.0000012063715789784806
130,0.086005210451406,71,20,0.0000012063715789784806
131,0.08732262859313429,66,37.5,0.0000012063715789784806
132,0.0886488612584504,67,61.5,0.0000012063715789784806
133,0.08992613338035757,66,55,0.0000012063715789784806
134,0.09114262952706041,66,47.5,0.0000012063715789784806
135,0.09238745331654588,67,65,0.0000012063715789784806
136,0.09362447280083122,66,61.5,0.0000012063715789784806
137,0.09489663227521898,66,23.5,0.0000012063715789784806
138,0.09620451489784551,67,29.5,0.0000012063715789784806
139,0.09755285161272273,68,11,0.0000014469979412893737
140,0.09885894588373123,67,85.5,0.0000014469979412893737
141,0.1001618204149688,66,26.5,0.0000014469979412893737
142,0.10138865642666756,63,27.5,0.0000014469979412893737
143,0.1026387831263775,63,15,0.0000014469979412893737
144,0.10386449758949895,62,57.5,0.0000014469979412893737
145,0.10512718133322009,63,32.5,0.0000014469979412893737
146,0.1064277179304748,64,55,0.0000017176657833502195
147,0.10765319323985545,60,34,0.0000017176657833502195
148,0.1088632213381584,59,73.5,0.0000017176657833502195
149,0.1100264106461908,58,39,0.0000017176657833502195
150,0.11113772244203542,56,29.5,0.0000017176657833502195
151,0.1122798338232072,57,61.5,0.0000017176657833502195
152,0.11342590213850097,57,56.5,0.0000017176657833502195
153,0.11455076617600451,56,17,0.0000020201422510286615
