"t","S [м²]","N активних","T життя [с]"
235,0.5891318747534057,12,2.5
236,0.5902526379325738,12,0.25
237,0.590650049403253,12,4.25
238,0.5919561665489829,13,6.5
239,0.5923920625296685,13,0.5
240,0.5935945071178299,9,12.25
241,0.593835624353993,9,1.25
242,0.5945699716367695,9,7.25
243,0.5947945955115013,10,10.5
244,0.5955328697850948,10,3.25
245,0.5957653476414605,10,1
246,0.5964706351921913,10,4
247,0.5967298165861125,10,7.75
248,0.597296088661922,9,6.25
249,0.5974845842211375,10,6.75
250,0.5981451040765546,11,12.25
251,0.5983783673310836,11,2.25
252,0.5989273606472985,10,5
253,0.5991213539936577,11,2
254,0.5997818738490748,11,3.25
255,0.6000206348907478,12,1.25
256,0.6008013206651646,12,4.25
257,0.6010392963086743,11,3.5
258,0.6018270506665617,11,0.25
259,0.602121574977836,11,6.5
260,0.6031096058673898,12,7.25
261,0.6034151257529515,11,0.25
262,0.6042994840849372,8,1.5
263,0.6045406013211,9,6.5
264,0.6051673490554911,8,0.5
265,0.6052670946222427,7,14.5
266,0.6055812538876015,6,0.25
267,0.6057022052047648,6,0.5
268,0.6061129684442216,6,2.5
269,0.6062676918824109,7,8.25
270,0.6067986210408676,8,5.25
271,0.6070004683688608,9,2
272,0.6076067957510035,9,2
273,0.6078235656441012,10,6.5
274,0.6085147160278909,10,0.5
275,0.6086388089377079,8,4.25
276,0.6089726031571516,6,7
277,0.609081773501864,7,4.75
278,0.6094760433798894,8,3
279,0.6096323376144056,9,10.5
280,0.6101868287177641,10,8.75
281,0.6103690410916724,10,11.5
282,0.611010711391168,11,6.5
283,0.6112588972108018,12,4.25
284,0.612010523253173,11,8.75
285,0.6122838418140354,12,13.25
286,0.6129396492804722,10,2.25
287,0.6131572045717334,11,3.75
288,0.6139143284012484,12,0.75
289,0.6142041403235421,13,10.75
290,0.6151395495361482,12,1.75
291,0.6154442840235467,12,2
292,0.6163851910232966,12,14
293,0.6167362640023353,13,2.5
294,0.6176779564002488,11,0.5
295,0.617964626729889,11,5
296,0.6187830116161489,10,9.5
297,0.6190869607053838,11,2.75
298,0.6199556110741015,10,2.75
299,0.6202532769780292,11,0.75
300,0.6211101463742956,10,3
301,0.6214030998892429,11,3.25
302,0.622255256896529,10,4.5
303,0.6225419272261693,11,1
304,0.6233210422042593,10,8.75
305,0.6235433098845007,9,1.5
306,0.6242760863709506,9,5.75
307,0.6245368385611987,10,6.5
308,0.6253238075209229,9,7.75
309,0.6256112632487263,10,7
310,0.6265003339696922,10,0.75
311,0.6267838627066787,11,3.75
312,0.627377623718207,9,2.75
313,0.6276022475929388,10,8.5
314,0.6283711523949049,11,1.5
315,0.6286617497153619,12,11.25
316,0.6294612850457004,12,6.75
317,0.6297652341349353,13,2.75
318,0.6306276013183456,10,3
319,0.6309142716479859,11,3.25
320,0.6317051675985268,10,3.25
321,0.6319290060750952,11,3.75
322,0.6325738179672443,10,0.5
323,0.632746605563192,10,0.25
324,0.6332115612759229,7,4.5
325,0.6333607869269686,8,3.5
326,0.6338163178617391,8,2.25
327,0.6339718266980919,8,9.5
328,0.634490189485934,8,1.75
329,0.6346731872580057,9,9.75
330,0.6351098686368547,8,2
331,0.6352339615466716,8,10
332,0.6356101672669389,7,5
333,0.63574682654737,8,6
334,0.6361277446566178,7,3.25
335,0.6362691163260293,8,2
336,0.6367694149561134,9,1.75
337,0.6369641937006362,10,3.75
338,0.6374244370243869,10,5.5
339,0.6375956538240078,10,2.25
340,0.6381792046594118,10,3
341,0.6383802665892417,10,3.25
342,0.6390462842318025,10,1.25
343,0.6392795474863319,11,1.5
344,0.6400099677782912,10,3.5
345,0.6402228106805721,9,4
346,0.6407827995710743,7,1.25
347,0.6409571579633486,8,3.5
348,0.6414260406668969,7,3.75
349,0.6415556313638575,7,1.25
350,0.641900421157589,7,0.25
351,0.6419711069922949,6,4
352,0.6421368260047716,5,3.25
353,0.6421815937000854,5,0.5
354,0.6423072574062291,4,0.25
355,0.6423512397033793,4,4.25
356,0.6424714056223789,4,0.25
357,0.6425138171232025,4,4.25
358,0.6426795361356793,5,5.25
359,0.6427030980805812,4,5.75
360,0.6428122684252935,5,3.75
361,0.6428641047040777,6,7.25
362,0.6430769476063584,7,17
363,0.6431696245896393,8,8
364,0.6434366599651944,8,1
365,0.6435505426988871,9,1.25
366,0.6438835515201674,8,2.75
367,0.6440162838097817,9,3
368,0.6444191930676045,8,6.75
369,0.6445370027921143,8,3
370,0.6449297018738128,8,8.25
371,0.6450624341634271,9,2
372,0.6455085403202367,9,3.25
373,0.6456601221657726,9,0.75
374,0.6461949783150461,9,0.75
375,0.6463661951146669,8,7.5
376,0.6467997349008621,7,6
377,0.6469646685151758,8,4.25
378,0.6475356529799656,9,0.75
379,0.6476817370383575,8,1.75
380,0.6481836064647685,8,12.25
381,0.6483744582184741,9,2.25
382,0.6489328763126496,8,9
383,0.6491237280663552,9,4.25
384,0.6497818917272822,10,6.5
385,0.6500324337414061,11,1.75
386,0.650751858459078,10,9.25
387,0.6509701991485026,10,5.25
388,0.6516699889120895,9,4.5
389,0.6519008959721285,10,0.75
390,0.652585763170611,9,5
391,0.6528245242122839,10,4.75
392,0.6535486613189363,10,0.75
393,0.6538211944816352,11,5.75
394,0.6547306855548494,11,6.25
395,0.6550668359687836,12,5.75
396,0.6560815703958931,12,0.75
397,0.6563870902814548,13,0.5
398,0.657077455267081,9,1
399,0.6573334950683485,10,0.5
400,0.6580599883694911,6,1.25
401,0.658241415345236,7,5.25
402,0.658852455116359,8,2.75
403,0.6590723666021104,8,12
404,0.6597713709675341,8,2.5
405,0.6598695457379589,7,4.5
406,0.6601939151794419,7,4.25
407,0.6602606740233308,7,2.75
408,0.6604900102870427,7,4.75
409,0.6605826872703237,8,6
410,0.6608827093687414,8,6
411,0.6610075876767217,9,5.75
412,0.6613437380906557,8,11.25
413,0.6614701871949629,9,2.25
414,0.6618754526472758,9,5.25
415,0.6620019017515829,9,8.5
416,0.662466857464314,10,6.25
417,0.6626529968290393,11,0.75
418,0.663198063154437,9,0.75
419,0.6633959834916132,10,2.75
420,0.6640722113102983,10,2.5
421,0.6642889812033962,10,0.25
422,0.6649471448643232,8,10.5
423,0.6651442798033358,9,4.5
424,0.6658032288624262,9,5.25
425,0.6660066469867463,9,8
426,0.666648317286242,9,1.75
427,0.6668140362987189,9,5
428,0.6673968017359597,10,1.75
429,0.6675821557025217,10,2.75
430,0.6682081180387492,10,2
431,0.6684445228859319,11,6.5
432,0.6690634166386891,9,5
433,0.6692676201611724,10,4.25
434,0.6699438479798576,9,12.5
435,0.6700742240749816,8,0.5
436,0.6705321112042423,8,5
437,0.6706766244663075,8,4.5
438,0.6711863478743523,9,11.25
439,0.6713842682115286,10,4.5
440,0.672073062400828,11,2.5
441,0.6722859053031088,11,0.5
442,0.6729000866668855,9,5.75
443,0.6731121441710028,10,5.5
444,0.6735535379388321,9,0.25
445,0.6737129737660019,9,0.5
446,0.6741213808109684,6,6.75
447,0.6742462591189485,7,11
448,0.6746279626263598,7,10.5
449,0.6747677634994447,8,1.75
450,0.6752633497405482,9,3
451,0.675456557688744,10,4.5
452,0.6761194337386515,10,6.25
453,0.6763652633637951,11,3.5
454,0.6770595553402382,10,2.25
455,0.6772991017800745,11,6.5
456,0.67810256410123,11,2.25
457,0.6783931614216872,12,1.5
458,0.6793788361167509,13,2.75
459,0.6797330506884431,13,11.25
460,0.6804595439895857,9,4.5
461,0.6806103404369581,8,3
462,0.6811389134009246,9,2.25
463,0.681343116923408,10,4.75
464,0.6820130615567859,10,1
465,0.6822219774682498,10,3.75
466,0.6829366897969412,10,3.5
467,0.6831683822551435,9,10.5
468,0.6838642450279135,9,7.75
469,0.684040959614678,9,2
470,0.6843598312690172,8,7.5
471,0.6844909927623047,9,3.5
472,0.6849151077705392,8,1
473,0.6850344882913758,8,4.75
474,0.6853887028630679,7,3
475,0.6855253621434991,8,0.75
476,0.6860060258194983,8,1.75
477,0.68618902359157,9,1.5
478,0.6867765014177912,9,3.25
479,0.686993271310889,10,5.75
480,0.6876718553240643,8,3
481,0.6879051185785934,9,2.25
482,0.6884407601260304,8,6.5
483,0.6886253286944288,9,4
484,0.6891641118345194,9,2
485,0.6893345432359768,9,3.75
486,0.6897138905488976,7,0.75
487,0.6898505498293288,8,1.5
488,0.6901757046689753,6,5.25
489,0.6902723086430733,7,0.5
490,0.69056054976904,5,1.5
491,0.6906194546312948,5,0.25
492,0.6908079501905102,4,5
493,0.6908684258490918,5,3
494,0.691062419195451,5,1.75
495,0.6911425298081175,6,3
496,0.6913106050150845,6,6.75
497,0.6913852178406072,7,1.25
498,0.6916506824198356,7,7.5
499,0.6917040894949467,6,0.25
500,0.6918792332853843,5,1
501,0.6919334257586587,5,2.5
502,0.6921046425582792,4,3.5
503,0.6921509810499198,5,4
504,0.6923379058128083,6,1
505,0.6924188018236382,7,7.25
506,0.6926866225973567,6,2
507,0.6927863681641082,7,3
508,0.6931523637082515,8,1.25
509,0.6932992331648068,9,6.75
510,0.6936510915420089,7,2.5
511,0.693734343747329,6,5.75
512,0.6940414344292174,7,1.5
513,0.6941458923849493,7,0.5
514,0.6943681600651908,6,3
515,0.6944600516503083,7,6
516,0.6947129498589222,6,11.25
517,0.6948158370183274,7,3.75
518,0.6951912573404312,8,2.25
519,0.6953412683896403,9,6.75
520,0.6957135471190905,8,2.5
521,0.6958509917976853,9,1.75
522,0.6962688236206126,8,3.25
523,0.6963677837892007,8,5.75
524,0.696704719601298,7,1.25
525,0.6968178169368274,8,7.5
526,0.6971791000919901,8,1.5
527,0.6972772748624149,7,1.25
528,0.6976385580175777,8,2.75
529,0.6977626509273945,8,5.75
530,0.698145139832969,7,1.75
531,0.6982943654840147,8,5.75
532,0.6987750291600138,8,0.5
533,0.6989328941908568,9,0.5
534,0.699366433977052,5,2.25
535,0.6994936684795224,6,2.75
536,0.6999327060528615,7,8.5
537,0.7001007812598287,8,2.5
538,0.7006811905025793,9,1.75
539,0.7008162789866837,8,3
540,0.7011453608171472,6,3.5
541,0.7012246860316504,7,7.25
542,0.7014328165449507,5,9.75
543,0.7014862236200617,6,1.25
544,0.7017037789113227,7,8.25
545,0.7017783917368455,7,8.5
546,0.7020383585289302,7,2.25
547,0.7021467434754791,8,2.5
548,0.7024750399077792,8,1.75
549,0.7026093429937201,9,8
550,0.7030978606513533,10,1.5
551,0.703276931432608,10,6
552,0.7038494866937246,9,0.5
553,0.7040599734015152,10,3.25
554,0.7045673406150699,8,0.25
555,0.704758977766939,8,1
556,0.7052663449804936,8,10.75
557,0.7054532697433822,8,6.5
558,0.7060902276538974,9,3.25
559,0.7063305594918973,10,1.5
560,0.7070782585434514,10,2.75
561,0.7073060240108369,10,3.75
562,0.7078267429931692,8,5
563,0.7079461235140058,8,6.25
564,0.7083804486983644,9,1.75
565,0.7084809796632793,8,1.5
566,0.7088210570680303,8,8.5
567,0.7089537893576446,9,2.25
568,0.7093661233934281,7,2.5
569,0.7095043534701861,8,0.75
570,0.7099049065335187,7,3.25
571,0.7100447074066034,8,5.5
572,0.7104586122387138,7,1.25
573,0.7105984131117987,8,0.75
574,0.7110343090924841,7,2.75
575,0.7111906033270002,7,0.5
576,0.7115919417884965,6,4.25
577,0.7117223178836204,6,1.5
578,0.7120325501581624,6,4.25
579,0.7121322957249139,7,1
580,0.7124386010086388,6,3.5
581,0.7125438443625342,6,0.75
582,0.7128391540719715,5,2.5
583,0.7129396850368864,6,6.75
584,0.7131313221887553,6,2.5
585,0.7131863000601932,6,2.5
586,0.7134085677404346,7,1.5
587,0.7134768973806502,7,0.25
588,0.7136096296702644,5,1.25
589,0.7136693199306826,6,2.5
590,0.7137816318680484,4,4
591,0.7138177601835648,4,1.5
592,0.7139646296401201,5,3.25
593,0.7140290322895188,6,3.75
594,0.7142230256358778,5,1
595,0.7142952822669105,6,0.5
596,0.7145096959655179,4,14.5
597,0.7145623176424656,5,3
598,0.7147421738218835,5,2
599,0.7147806583318901,5,0.5
600,0.7149102490288506,4,0.25
601,0.7149479481406936,4,7.25
602,0.7150861782174516,4,2
603,0.7151175941439876,4,2.25
604,0.7152503264336016,5,1.5
605,0.7153100166940198,6,6.75
606,0.7155330697724248,6,4.5
607,0.7156186781722351,7,1.5
608,0.7158574392139079,6,3
609,0.7159556139843325,7,0.75
610,0.7162894082037764,6,3.5
611,0.7164142865117568,7,0.5
612,0.7168462555016252,7,1
613,0.7170111891159388,8,3.5
614,0.7175554700431729,7,0.75
615,0.7177439656023885,8,0.25
616,0.7181256691097996,5,0.75
617,0.7182670407792111,6,0.25
618,0.7186079035821257,3,7.25
619,0.7187021513617333,4,0.25
620,0.7189644743483081,3,2.75
621,0.7190540097389354,4,2.25
622,0.7193611004208238,5,1.25
623,0.7194789101453335,6,0.25
624,0.7198778924123393,6,0.25
625,0.7200184786835876,5,1.75
626,0.7201205804448291,3,0.75
627,0.7201582795566722,4,2
628,0.7202855140591425,3,0.25
629,0.7203271401618027,3,1.75
630,0.7204810782018285,4,1.5
631,0.720531343684286,4,0.5
632,0.720699418891253,3,7.25
633,0.7207111998637039,3,3.75
634,0.7207402595957496,3,7
635,0.7207591091516712,4,2.5
636,0.7208541423294422,5,4.25
637,0.7209012662192461,6,2.5
638,0.7210999719545856,7,3.5
639,0.7211879365488862,8,1
640,0.7214691090913824,7,1.25
641,0.7215578590838463,7,3.75
642,0.7218563103859373,7,1.5
643,0.7219639099343229,7,0.75
644,0.7223479696362243,7,5.75
645,0.7224681355552239,7,4.75
646,0.7227870072095633,6,0.5
647,0.7228655470259031,6,3.25
648,0.7230728921410399,4,3.5
649,0.7231113766510464,5,1
650,0.7232747394690331,6,10.5
651,0.7233407129147584,6,2.75
652,0.7235959673178625,7,0.5
653,0.7237027814680846,8,1
654,0.7239839540105809,6,2.75
655,0.7240703478085546,6,5.25
656,0.7242203588577635,4,2.75
657,0.7242604141640968,5,0.75
658,0.72442299158392,5,0.25
659,0.7244881796314819,5,1.25
660,0.724693953950292,5,4.5
661,0.7247724937666319,6,4
662,0.7249971176413634,5,1.25
663,0.7250819406430103,6,0.5
664,0.7253843189359184,6,0.5
665,0.7254942746787941,6,1
666,0.725758953859859,5,3
667,0.7258555578339569,5,1
668,0.7261932790442177,6,1.25
669,0.7262914538146423,5,1
670,0.7265419958287661,5,3.75
671,0.7266252480340862,4,2.5
672,0.7266888652853214,3,3.5
673,0.726707714841243,4,0.25
674,0.7267909670465631,4,5.5
675,0.7268310223528963,5,0.5
676,0.7269551152627132,4,1.75
677,0.7270030245506804,5,3.25
678,0.7271443962200919,5,3.5
679,0.7271993740915298,6,6
680,0.7273234670013465,5,1
681,0.7273768740764576,6,0.75
682,0.7275818629971041,5,3.5
683,0.7276604028134439,6,2.25
684,0.7278850266881757,6,3
685,0.72797848906962,7,1.75
686,0.7281418518876066,6,1.25
687,0.7282148939168026,7,4.75
688,0.7284395177915342,6,1.75
689,0.7285180576078741,6,5.75
690,0.7287183341395403,5,4.5
691,0.7287505354642396,5,3.75
692,0.728869915985076,5,0.25
693,0.7289193960693701,5,1.25
694,0.7291157456102193,6,5
695,0.7291997832137029,7,0.25
696,0.7294456128388463,5,0.75
697,0.7295241526551861,6,2.5
698,0.7297801924564534,5,1.5
699,0.7298650154581006,6,1.25
700,0.7300480132301721,5,1.25
701,0.7301014203052831,6,3
702,0.7302184446316293,4,2.75
703,0.7302561437434725,4,2
704,0.7303755242643089,4,4
705,0.7304077255890081,5,2.75
706,0.7305522388510732,6,9.5
707,0.7305860109720994,5,4
708,0.7306975375113017,5,5
709,0.7307446614011056,6,4.25
710,0.730925302978687,6,0.75
711,0.7309936326189026,7,2.75
712,0.7312268958734315,6,0.25
713,0.7313038648934446,6,4.25
714,0.7315921060194113,7,3
715,0.7316839976045288,7,1.25
716,0.7320083670460119,7,0.75
717,0.7321277475668483,8,1.75
718,0.7323994953313837,5,1.25
719,0.7324843183330307,6,1
720,0.7327647054773635,5,4.75
721,0.7328401037010497,4,8.75
722,0.7330176036859775,4,0.25
723,0.7330867187243565,4,0.25
724,0.7333207673770489,4,3.5
725,0.7334110881658396,5,2.75
726,0.7335438204554537,5,0.75
727,0.733603510715872,6,0.75
728,0.7338218514052963,5,5.75
729,0.7339066744069432,6,0.25
730,0.7341258004945311,4,0.25
731,0.734188632347603,4,1
732,0.7343425703876287,4,5.75
733,0.7343991190553935,4,0.5
734,0.734597824790733,4,1.75
735,0.7346755792089094,5,4.25
736,0.7349567517514055,6,3.75
737,0.7350690636887715,7,0.75
738,0.7353863645467841,5,1.75
739,0.7354664751594505,6,4
740,0.7356887428396919,6,1.5
741,0.7357696388505219,7,4.5
742,0.7360539529856718,7,0.5
743,0.736167050321201,8,4.5
744,0.7363178467685731,4,0.75
745,0.7363610436675601,5,1.25
746,0.7365259772818734,5,4.25
747,0.7365691741808603,5,3.5
748,0.7367160436374156,5,2
749,0.7367804462868143,6,1.25
750,0.7369712980405198,6,1
751,0.7370443400697158,7,4.5
752,0.7372194838601533,4,2.75
753,0.7372705347407743,5,1.5
754,0.7374244727808001,5,4.5
755,0.7374566741054994,5,0.5
756,0.7375697714410286,4,2
757,0.7376161099326691,5,1.75
758,0.7377653355837145,5,4
759,0.7378250258441328,6,0.5
760,0.7379671829117077,3,6
761,0.7380001696345704,4,1.25
762,0.7381376143131648,5,0.5
