"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
112,0.00009775021794966886,113,75,0.000003871302945609683
113,0.00010124102375944641,114,445,0.000004071504079052344
114,0.00010482450105471761,115,218,0.000004071504079052344
115,0.00010850227560968092,116,273,0.000004071504079052344
116,0.00011227598733570133,117,682,0.000004174142267239613
117,0.00011614729028131103,118,497,0.000004384564572380729
118,0.00012011785263220903,119,484,0.000004492376963668459
119,0.00012418935671126139,120,497,0.000004601942363656891
120,0.00012836349897850098,121,375,0.000004601942363656891
121,0.0001326419900311277,122,220,0.000004601942363656891
122,0.0001370265546035084,123,332,0.000004601942363656891
123,0.00014151893156717684,124,337,0.0000047132749095129705
124,0.00014612087393083375,125,376,0.0000047132749095129705
125,0.00015083414884034676,126,606,0.000004826388738403633
126,0.00015566053757875038,127,668,0.000004941297987495822
127,0.00016060183556624615,128,335,0.00000505801679395648
128,0.00016565985236020273,129,165,0.00000505801679395648
129,0.0001708364116551552,130,203,0.000005176559294952545
130,0.00017613335128280615,131,601,0.000005176559294952545
131,0.0001815525232120249,132,525,0.0000052969396276509625
132,0.00018709579354884745,133,329,0.0000052969396276509625
133,0.00019276504253647715,134,288,0.000005543270336822609
134,0.00019856216455528403,135,337,0.000005543270336822609
135,0.00020448906812280533,136,290,0.000005543270336822609
136,0.0002105476758937448,137,525,0.000005669248987629721
137,0.00021673992465997364,138,525,0.000005669248987629721
138,0.00022306776535052942,139,297,0.000006192248766228731
139,0.00022953316303161718,140,407,0.00000632784069055583
140,0.0002361380969066086,141,315,0.000006465397681087748
141,0.0002428845603160424,142,338,0.0000066049338749914266
142,0.0002497745607376243,143,254,0.0000066049338749914266
143,0.0002568101197862268,144,249,0.00000674646340943381
144,0.0002639932732138891,145,522,0.00000674646340943381
145,0.00027132607090981845,146,600,0.000006890000421581835
146,0.00027881057690038765,147,579,0.000006890000421581835
147,0.00028644886934913735,148,331,0.000007035559048602447
148,0.0002942430405567746,149,496,0.000007035559048602447
149,0.0003021951969611736,150,563,0.000007484505990569203
150,0.00031030745913737575,151,412,0.000007484505990569203
151,0.0003185819617975891,152,494,0.000007484505990569203
152,0.00032702085379118854,153,329,0.000007484505990569203
153,0.0003356262981047164,154,611,0.000007484505990569203
154,0.0003444004718618812,155,408,0.00000779417120763722
155,0.0003533455663235593,156,637,0.00000779417120763722
156,0.00036246378688779347,157,578,0.000007952156404399104
157,0.0003717573530897929,158,1081,0.000008112262176202163
158,0.00038122849860193454,159,720,0.000008112262176202163
159,0.0003908794712337623,160,371,0.000008274502660213336
160,0.00040071253293198664,161,483,0.000008274502660213336
161,0.00041072995978048515,162,383,0.000008438891993599563
162,0.0004209340420003021,163,489,0.000008438891993599563
163,0.0004313270839496488,164,489,0.000008774173757164951
164,0.0004419114041239042,165,591,0.000008774173757164951
165,0.0004526893351556132,166,520,0.000008945094461677992
166,0.0004636632238144877,167,369,0.000008945094461677992
167,0.0004748354310074074,168,351,0.000009118220564233854
168,0.000486208331778418,169,72,0.000009118220564233854
169,0.0004977843153087329,170,510,0.000009118220564233854
170,0.000509565784916732,171,628,0.000009118220564233854
171,0.0005215551580579624,172,343,0.000009471145512141802
172,0.0005337548663251373,173,549,0.000009471145512141802
173,0.0005461673554481384,174,311,0.00000965097263182777
174,0.000558795085294013,175,527,0.000009833061698224325
175,0.0005716405298669759,176,299,0.000010017426848498405
176,0.0005847061773084086,177,584,0.000010204082219816956
177,0.0005979945298968596,178,363,0.000010204082219816956
178,0.000611508104048045,179,306,0.000010584320174255219
179,0.0006252494303148467,180,464,0.000010584320174255219
180,0.0006392210533873142,181,395,0.000010973888658874645
181,0.0006534255320926641,182,503,0.000010973888658874645
182,0.0006678654393952797,183,654,0.000010973888658874645
183,0.000682543362396711,184,587,0.000010973888658874645
184,0.0006974619023356748,185,323,0.000011172207192919645
185,0.0007126236745880557,186,651,0.000011172207192919645
186,0.0007280313086669048,187,639,0.000011172207192919645
187,0.0007434142993075814,186,322,0.000011781469607999098
188,0.0007590448058232581,187,280,0.000011781469607999098
189,0.0007749254718641527,188,362,0.000011781469607999098
190,0.0007910589552176506,189,288,0.000011989373141230205
191,0.0008069837574937359,188,680,0.000011989373141230205
192,0.0008231616032770949,189,315,0.000012845444572962817
193,0.0008395951644922801,190,463,0.000013065647441432726
194,0.0008562871272010105,191,452,0.000013065647441432726
195,0.0008732401916021716,192,272,0.000013065647441432726
196,0.0008904570720318158,193,360,0.000013065647441432726
197,0.0009079404969631629,194,492,0.00001328835258845122
198,0.0009256932090065996,195,481,0.00001351357415118524
199,0.0009437179649096796,196,121,0.000013741326266801724
200,0.0009620175355571234,197,260,0.000013741326266801724
201,0.000980594705970818,198,418,0.000013971623072467616
202,0.0009994522753098178,199,327,0.000013971623072467616
203,0.0010185930568703447,200,335,0.000014204478705349857
204,0.001038019878085786,201,413,0.00001443990730261539
205,0.0010577355805266976,202,360,0.000014677923001431154
206,0.0010777430199008008,203,249,0.000014918539938964087
207,0.0010980450660529864,204,275,0.000014918539938964087
208,0.0011186446029653083,205,630,0.000014918539938964087
209,0.0011395445287569897,206,248,0.000014918539938964087
210,0.0011607477556844225,207,458,0.000015161772252381137
211,0.0011822572101411618,208,605,0.000015161772252381137
212,0.0012040758326579309,209,552,0.00001540763407884924
213,0.001226206577902623,210,562,0.00001565613955553534
214,0.0012486524146802921,211,257,0.000015907302819606378
215,0.0012714163259331648,212,503,0.000015907302819606378
