"t","S [м²]","N активних","T життя [с]"
190,0.5319478198746015,13,5.5
191,0.5328659503276131,13,3
192,0.533865762189618,14,28.5
193,0.5349535386459237,15,4.5
194,0.5361253527057125,15,24.5
195,0.5372720340242726,15,16.5
196,0.5324881738110189,14,2
197,0.5334691361171023,14,12.5
198,0.5344995785074798,13,10.5
199,0.5354868239988703,13,2.5
200,0.5364756402865877,12,10
201,0.5374628857779783,13,6.5
202,0.5383935826016043,12,30
203,0.5393996776489163,13,16.5
204,0.5404874541052219,14,7.5
205,0.5413364695198545,14,4.5
206,0.5422734495287876,15,3
207,0.5433046773173286,16,5
208,0.544392453773634,16,3.5
209,0.5455014359803513,15,14.5
210,0.5465507279266502,13,14
211,0.54765107075357,14,9
212,0.5484961591773857,10,3.5
213,0.5493891568891686,11,0.5
214,0.5503449864540233,11,7
215,0.5512717562868322,11,2.5
216,0.5521459044426936,11,0.5
217,0.5530828844516267,11,6.5
218,0.5540701299430172,11,46
219,0.5549694108401074,11,21
220,0.5558019328933087,10,40.5
221,0.5329586273108938,9,13
222,0.5336568462781542,10,18
223,0.5344178970984864,11,7.5
224,0.5350650651851259,9,3.5
225,0.535725585040543,10,32
226,0.5364489367490319,11,53.5
227,0.5372414034959,12,9.5
228,0.5305144682264009,11,11
229,0.5310681739315961,12,16
230,0.5316972778604774,13,3
231,0.5323577977158948,13,24
232,0.5330049658025342,13,15
233,0.5336301427405985,13,17.5
234,0.5342867356051987,13,18.5
235,0.5349849545724591,14,18.5
236,0.5357711381340199,15,14
237,0.5365887376221166,15,4.5
238,0.5375005848898211,16,12
239,0.5384776202050876,16,30.5
240,0.5393973214544259,15,17.5
241,0.5402903191662088,16,21.5
242,0.5412524319163707,16,2.5
243,0.5423150756314474,17,5.5
244,0.5434845334967462,18,13.5
245,0.544697188261032,17,31.5
246,0.5459671770912456,18,7.5
247,0.5473023539690214,18,6
248,0.5487042896906857,19,20.5
249,0.5501879068213434,19,10
250,0.5517076522675174,18,2
251,0.5531472871010251,18,4
252,0.5546929506865911,18,16
253,0.5489689688717504,17,20
254,0.5504023205199507,16,16
255,0.5518466677424387,15,24.5
256,0.5532988689465607,16,14
257,0.554750284752519,16,23
258,0.5560014240268113,15,35
259,0.5573146097560117,15,16
260,0.5586914127364473,16,9.5
261,0.5599111360842036,16,32
262,0.5612313903968749,17,8.5
263,0.56252022878301,17,26
264,0.5479338140923928,17,10.5
265,0.549147254254842,18,3.5
266,0.5504737917528203,19,6
267,0.5519197097716348,20,19.5
268,0.5534402406159723,20,6.5
269,0.5452029846782599,19,2
270,0.5464085708590749,16,17
271,0.5475583937702888,15,6
272,0.5487773317198815,15,29.5
273,0.5500088360400889,15,26
274,0.5512725416849954,16,1
275,0.5411589695349265,13,14.5
276,0.5423849760679897,14,33.5
277,0.5434782503114391,13,23
278,0.5446351418061236,14,5
279,0.5458799978951085,15,19
280,0.546649688095238,13,2.5
281,0.5474295884714916,14,20
282,0.5482974534420457,15,2
283,0.549224223274855,14,13
284,0.5502169665533891,14,28
285,0.5512921766390804,15,6.5
286,0.552461634504379,16,25
287,0.5535517671551747,15,14.5
288,0.5546835259086303,16,9.5
289,0.5558333488198444,16,5
290,0.5569085589055354,16,20.5
291,0.5580842999561414,17,21.5
292,0.5593228728598191,17,16.5
293,0.5604562024096017,16,23.5
294,0.5614646536514041,16,0.5
295,0.5625524301077094,16,21.5
296,0.5636991114262696,16,4
297,0.5649062684034116,17,12
298,0.5660969320191221,16,27
299,0.5672467549303359,16,16.5
300,0.5453639913017563,15,4.5
301,0.5463944336921339,15,6
302,0.5471743340683876,14,1
303,0.5480382720481248,14,13.5
304,0.5489878184276722,15,1.5
305,0.5500001966602917,15,22.5
306,0.5510942563019041,15,4.5
307,0.5522629287690397,15,8.5
308,0.5535077848580245,16,33
309,0.5547078732516959,15,1
310,0.5557477404200339,14,25
311,0.5566305279556928,12,1.5
312,0.5574222093043973,12,6
313,0.5580513132332787,11,5.5
314,0.558749532200539,12,5
315,0.5595231493914856,13,4
316,0.5602150851734388,12,4
317,0.5580536694277688,10,4.5
318,0.5584872092139643,10,17.5
319,0.5588979724534212,8,10
320,0.5593189458690023,8,20
321,0.5597784037945898,9,26
322,0.5602629944614059,9,10.5
323,0.5608041337959867,10,49
324,0.5614081049836394,11,19
325,0.5619955828098606,11,1
326,0.5625642110801604,11,6.5
327,0.5631995981943488,12,17.5
328,0.5637658702701586,12,13.5
329,0.5643753392449549,12,10
330,0.5650295759150651,13,15
331,0.5657654939941684,14,2
332,0.5665893766675724,15,5
333,0.5673873412015842,13,14.5
334,0.5682614893574456,14,6
335,0.5691442768931042,14,2.5
336,0.5699241772693578,14,7.5
337,0.5707755488784808,14,2.5
338,0.5716811129608781,14,18.5
339,0.5726424403128765,14,6.5
340,0.5735589999695615,12,6.5
341,0.574366389281534,12,5
342,0.5750583250634872,12,4
343,0.575765183410545,12,7.5
344,0.5764382696365765,12,3.5
345,0.5733940663552479,11,1
346,0.5739265663100316,8,8.5
347,0.5743538229109196,7,13.5
348,0.5746247852772919,6,13.5
349,0.5749334467555071,7,5
350,0.5752860905308724,8,11.5
351,0.5756387343062378,8,10.5
352,0.5760416435640607,9,1.5
353,0.5765011014896482,10,7
354,0.5769943315362618,9,10.5
355,0.5774726390177708,9,22.5
356,0.5780074951670445,10,8.5
357,0.5784858026485535,10,1
358,0.5790230149923173,10,14.5
359,0.5796207029946628,11,0.5
360,0.5802584463033418,10,5
361,0.58084985112038,10,6
362,0.5812716099341244,8,19
363,0.5817436342303263,9,1.5
364,0.5822722071942928,10,2.5
365,0.5827088885731417,7,10.5
366,0.5831746296840364,8,14.5
367,0.5730838340807064,7,1.5
368,0.5735872743034444,8,28.5
369,0.5741284136380249,8,1
370,0.5747158914642463,8,5
371,0.5753512785784348,9,14.5
372,0.5758884909221987,9,17
373,0.5762348515122568,9,3.5
374,0.5766377607700798,10,5
375,0.5770870085195432,10,7.5
376,0.5775150505185949,10,23.5
377,0.5744551392739984,10,27.5
378,0.5748391989758999,10,6.5
379,0.5752695971694416,10,5
380,0.5757479046509506,11,13.5
381,0.5761406037326494,10,5
382,0.5765372298051651,11,13
383,0.5769527054336022,11,25.5
384,0.5774208027389872,11,4
385,0.5778991102204962,11,2
386,0.5783357915993453,10,8
387,0.5788133136826907,10,7.5
388,0.5793348180631869,10,5.5
389,0.5798531808510292,10,18
390,0.5803817538149957,11,10
391,0.580979441817341,12,4
392,0.5816525280433726,13,30.5
393,0.5824072956783977,14,18.5
394,0.5830984460621873,12,19.5
395,0.5837354039727026,10,12
396,0.5843833574575055,11,23.5
397,0.5849182136067791,11,4
398,0.5855221847944317,12,12.5
399,0.5862015542057706,13,6
400,0.5767508581056091,12,11.5
401,0.5773603270804055,12,6.5
402,0.5780334133064372,13,2
403,0.5787881809414621,14,3.5
404,0.579623844587317,14,25
405,0.5803464108976427,13,12
406,0.5811325944592036,14,1.5
407,0.5818857912979015,12,10.5
408,0.5825651607092404,11,18
409,0.5831502823409714,11,2.5
410,0.5838045190110817,12,5
411,0.5844524724958844,12,23.5
412,0.5686761795877198,10,23
413,0.5692487348488365,11,17.5
414,0.5697647414421887,11,10.5
415,0.5703333697124884,11,6
416,0.5709561904560625,12,14.5
417,0.5716159249133165,12,2.5
418,0.5722450288421979,12,11
419,0.5729495309947652,13,3
420,0.5735660685530323,12,12.5
421,0.5742383693809006,12,9.5
422,0.5749577940985727,12,4.5
423,0.5755491989156108,12,23.5
424,0.5762160019563355,13,12
425,0.5768953713676742,13,26
426,0.5775990881220784,13,16
427,0.5782973070893386,13,0.5
428,0.5790709242802851,13,11.5
429,0.5798115547483689,12,14.5
430,0.5805160569009364,13,7.5
431,0.5810320634942885,11,8
432,0.5816171851260197,12,12
433,0.5821960235724436,12,9.5
434,0.5828502602425537,13,5
435,0.5833623398450888,12,7
436,0.5838398619284344,12,7
437,0.5843558685217864,13,30.5
438,0.5849032910416745,13,2.5
439,0.5854899834697325,12,45
440,0.5860374059896203,12,1
441,0.5866374501864561,11,12
442,0.5872304257998212,10,8
443,0.5877299390317421,9,17
444,0.5695055600482675,8,15.5
445,0.5699210356767048,9,3.5
446,0.5703930599729066,10,9.5
447,0.570777119674808,10,6
448,0.5712240112297811,11,5.5
449,0.5717148850819045,11,6.5
450,0.5722489558330147,11,24
451,0.5727453274722819,11,12
452,0.5732299181390981,12,16.5
453,0.573731787565509,11,16.5
454,0.574210095047018,11,8
455,0.5747575175669061,12,25.5
456,0.5752735241602582,11,2
457,0.5758586457919893,12,3
458,0.5688144096644776,12,11.5
459,0.5695377613729667,13,9
460,0.5652761909383723,11,4.5
461,0.5659241444231752,12,10.5
462,0.5666215779922721,12,6
463,0.5673315779319833,12,5
464,0.5680800623817011,13,0.5
